feature,importance
Aggregate_feature_24,3.8901308e-06
Local_feature_44,3.8504672e-06
Local_feature_45,3.827559e-06
Aggregate_feature_42,3.821407e-06
Aggregate_feature_61,3.8115022e-06
Aggregate_feature_23,3.7908799e-06
Local_feature_91,3.7730156e-06
Local_feature_56,3.7567904e-06
Aggregate_feature_55,3.7370758e-06
Aggregate_feature_57,3.7246195e-06
Local_feature_57,3.6866056e-06
Aggregate_feature_58,3.6734293e-06
Local_feature_89,3.6643996e-06
Aggregate_feature_49,3.6622785e-06
Aggregate_feature_12,3.6561978e-06
num_input_addresses,3.6305175e-06
Local_feature_90,3.6239646e-06
Aggregate_feature_41,3.6139925e-06
Aggregate_feature_19,3.5839485e-06
Aggregate_feature_43,3.4886605e-06
Aggregate_feature_63,3.4738512e-06
Aggregate_feature_35,3.4510647e-06
Aggregate_feature_11,3.4233e-06
Aggregate_feature_45,3.3876875e-06
Aggregate_feature_36,3.3081435e-06
Aggregate_feature_66,3.299346e-06
Aggregate_feature_22,3.214002e-06
Local_feature_26,3.1866718e-06
Local_feature_92,3.1600403e-06
Aggregate_feature_47,3.0749163e-06
Aggregate_feature_65,3.0557696e-06
Aggregate_feature_18,2.9299347e-06
Local_feature_93,2.6368798e-06
Local_feature_32,2.4928117e-06
Local_feature_52,2.3850664e-06
Local_feature_85,2.3296896e-06
Local_feature_78,2.2611225e-06
Aggregate_feature_17,2.2357194e-06
Local_feature_81,2.1391743e-06
Local_feature_77,2.0396888e-06
Aggregate_feature_48,2.0065659e-06
Local_feature_13,1.9535146e-06
Local_feature_84,1.9334473e-06
Local_feature_51,1.9279053e-06
Local_feature_80,1.895364e-06
Local_feature_79,1.7992937e-06
Local_feature_12,1.6777296e-06
Local_feature_83,1.6303258e-06
Aggregate_feature_29,1.6298451e-06
Aggregate_feature_2,1.5708214e-06
Local_feature_41,1.5133097e-06
Local_feature_47,1.2240118e-06
Aggregate_feature_30,1.1805244e-06
Aggregate_feature_4,1.1614331e-06
Local_feature_54,1.1600245e-06
Local_feature_53,1.1316284e-06
Aggregate_feature_21,1.1185357e-06
Local_feature_43,1.1019e-06
Aggregate_feature_56,1.0952982e-06
Aggregate_feature_20,1.0883135e-06
Aggregate_feature_44,1.0859402e-06
size,1.0787659e-06
num_output_addresses,1.073118e-06
Aggregate_feature_64,1.0728543e-06
Local_feature_49,9.995786e-07
Aggregate_feature_15,9.981749e-07
Aggregate_feature_6,9.949808e-07
Aggregate_feature_7,9.822388e-07
Local_feature_27,9.75318e-07
Aggregate_feature_53,9.709368e-07
Aggregate_feature_46,9.64796e-07
Local_feature_40,9.620823e-07
Aggregate_feature_8,9.521219e-07
Local_feature_46,9.488846e-07
Aggregate_feature_39,9.477287e-07
Aggregate_feature_10,9.4534937e-07
Local_feature_55,9.451946e-07
Aggregate_feature_27,9.4039166e-07
Aggregate_feature_52,9.3807733e-07
Local_feature_20,9.190916e-07
Local_feature_50,9.1799666e-07
Aggregate_feature_62,9.0797164e-07
Aggregate_feature_54,8.894092e-07
Aggregate_feature_50,8.859763e-07
in_BTC_max,8.810325e-07
Aggregate_feature_1,8.772188e-07
Local_feature_88,8.660877e-07
Local_feature_33,8.5216277e-07
Aggregate_feature_5,8.512656e-07
Aggregate_feature_26,8.488925e-07
Aggregate_feature_71,8.4370146e-07
out_txs_degree,8.4063515e-07
Local_feature_21,8.3339523e-07
Aggregate_feature_37,8.31983e-07
Local_feature_69,8.2922395e-07
Local_feature_16,8.275193e-07
out_BTC_total,8.027661e-07
Local_feature_36,7.972155e-07
Aggregate_feature_28,7.9626585e-07
Aggregate_feature_59,7.9604246e-07
Local_feature_75,7.896669e-07
Local_feature_39,7.8725196e-07
out_BTC_mean,7.8131035e-07
Local_feature_74,7.7051806e-07
Local_feature_5,7.553973e-07
Aggregate_feature_72,7.410882e-07
Aggregate_feature_51,7.386697e-07
fees,7.3649807e-07
Aggregate_feature_60,7.313153e-07
Aggregate_feature_69,7.3019817e-07
Local_feature_68,7.301042e-07
in_BTC_median,7.22225e-07
Aggregate_feature_40,7.213862e-07
Local_feature_10,7.158682e-07
Local_feature_58,7.122991e-07
Aggregate_feature_67,7.116783e-07
Local_feature_73,7.108453e-07
Local_feature_82,7.10655e-07
Local_feature_59,7.099838e-07
out_BTC_min,7.0781095e-07
Local_feature_86,7.075581e-07
Local_feature_62,7.0641113e-07
Local_feature_37,7.010522e-07
Local_feature_3,6.9950005e-07
Local_feature_34,6.919714e-07
Aggregate_feature_31,6.890346e-07
Local_feature_31,6.8674234e-07
in_BTC_total,6.827895e-07
total_BTC,6.819508e-07
in_BTC_min,6.810605e-07
Local_feature_70,6.802081e-07
Local_feature_28,6.756525e-07
Local_feature_38,6.726252e-07
Local_feature_6,6.704905e-07
Aggregate_feature_70,6.669522e-07
Aggregate_feature_14,6.637755e-07
Aggregate_feature_13,6.6354613e-07
Aggregate_feature_32,6.558008e-07
Local_feature_4,6.526485e-07
Aggregate_feature_38,6.5204154e-07
in_BTC_mean,6.501747e-07
Local_feature_66,6.489618e-07
Local_feature_61,6.4866714e-07
Aggregate_feature_25,6.4496993e-07
Local_feature_7,6.3847995e-07
Aggregate_feature_34,6.3788616e-07
Local_feature_18,6.3777907e-07
Local_feature_71,6.354668e-07
Local_feature_15,6.3446953e-07
Local_feature_14,6.315023e-07
Aggregate_feature_9,6.3009594e-07
out_BTC_median,6.2999266e-07
Local_feature_72,6.283091e-07
Aggregate_feature_33,6.257489e-07
Local_feature_42,6.232672e-07
Local_feature_35,6.1779605e-07
Local_feature_24,6.1746505e-07
Local_feature_76,6.171062e-07
Local_feature_60,6.129169e-07
Local_feature_29,6.118791e-07
Local_feature_30,6.110027e-07
Local_feature_8,6.10536e-07
Local_feature_87,6.094022e-07
Aggregate_feature_68,6.079377e-07
Local_feature_64,6.06014e-07
Local_feature_25,6.048323e-07
Local_feature_23,6.048112e-07
Local_feature_48,5.9714256e-07
Local_feature_1,5.921952e-07
Local_feature_22,5.8311326e-07
out_BTC_max,5.810239e-07
Local_feature_63,5.793747e-07
Aggregate_feature_3,5.7030957e-07
Aggregate_feature_16,5.696552e-07
Local_feature_11,5.6261155e-07
Local_feature_67,5.6012857e-07
Local_feature_2,5.574476e-07
Local_feature_9,5.255436e-07
Local_feature_65,5.174154e-07
Local_feature_17,5.009298e-07
Local_feature_19,4.97837e-07
in_txs_degree,0.0
