feature,mean_abs_shap
Local_feature_53,0.03574602325504231
Local_feature_55,0.03281989762428196
size,0.021352462683170675
num_output_addresses,0.016244270061038953
Local_feature_5,0.014640377247668932
Local_feature_90,0.014356976695876324
Local_feature_47,0.014024567758681505
Local_feature_76,0.013536043211230532
Local_feature_49,0.013294591288678497
Local_feature_14,0.013065857312734791
Local_feature_41,0.011832505210736635
Local_feature_52,0.011547918835705918
Local_feature_46,0.010370852232810313
Local_feature_18,0.010193614234864994
Local_feature_43,0.008863199367714635
Local_feature_59,0.007976771841901695
Local_feature_23,0.0074589175417611574
Aggregate_feature_39,0.007104710476386142
Local_feature_40,0.006542802269501473
Local_feature_65,0.006533756031888116
Aggregate_feature_66,0.006375147433663161
Local_feature_80,0.006166991036534332
Aggregate_feature_45,0.006109636381385442
Local_feature_81,0.006075977461602641
Local_feature_29,0.006072197967538929
Aggregate_feature_70,0.0059645453561370364
Local_feature_79,0.0058112054990475314
Local_feature_61,0.005545592059953529
Local_feature_67,0.005517792256823691
Local_feature_77,0.005467002494491961
Local_feature_31,0.005257343939128948
Aggregate_feature_65,0.004665625482357911
Local_feature_54,0.004623536273661599
Local_feature_16,0.004447508327537373
out_BTC_min,0.004248461522592587
Local_feature_85,0.004142384087423104
Aggregate_feature_63,0.004123019670315671
num_input_addresses,0.003933216713392252
Local_feature_83,0.0038346512572027436
Local_feature_25,0.0038324625362937312
fees,0.0037099605901495256
Local_feature_2,0.0036660892326028146
Local_feature_22,0.0036646083605780186
Local_feature_84,0.0035639992304144436
Aggregate_feature_46,0.003541330562153138
Aggregate_feature_44,0.0034238450215078
Aggregate_feature_49,0.003354902533090549
Aggregate_feature_68,0.003326944598877736
Local_feature_66,0.0032201318390352868
Aggregate_feature_51,0.0032085080197176547
Aggregate_feature_67,0.003167024658188469
Local_feature_64,0.0031473757760719034
Local_feature_3,0.0031336203729049957
Local_feature_60,0.003094407101888087
Aggregate_feature_61,0.003084533572275454
Local_feature_20,0.0030112339745217475
Local_feature_89,0.0029465271904348875
Aggregate_feature_14,0.002835498378934988
total_BTC,0.00282354105724419
Aggregate_feature_32,0.0028022939985121193
Local_feature_17,0.0027583538213297944
Aggregate_feature_69,0.002703993899509347
Local_feature_6,0.002655452128147093
Local_feature_58,0.0026209926808977344
Local_feature_10,0.002557745700703121
Local_feature_4,0.00251579223503209
Aggregate_feature_34,0.0025080722477043584
Local_feature_48,0.0024311552182397964
Local_feature_1,0.0022813760246668375
Aggregate_feature_16,0.002244376947198
Local_feature_28,0.002235329209342163
Local_feature_9,0.002206146891389905
Local_feature_42,0.002155154931519704
Aggregate_feature_43,0.0021237026261520654
in_BTC_total,0.0021083202699167625
in_BTC_min,0.002105402221081433
Aggregate_feature_7,0.002081055755726602
Aggregate_feature_8,0.0020809674737058796
Local_feature_78,0.0020805962555654083
out_BTC_total,0.001956145516654803
out_BTC_max,0.0018688363263061993
Aggregate_feature_3,0.0018666403178812614
Aggregate_feature_10,0.0017837808881470993
Local_feature_91,0.0016801626421663505
Aggregate_feature_13,0.0016683628591341276
Local_feature_24,0.0016567133084389625
Local_feature_93,0.001636886538898817
in_BTC_median,0.001626954831045679
Aggregate_feature_31,0.001599473964396746
out_BTC_median,0.0015967007461156868
Local_feature_88,0.001585207904539825
Local_feature_11,0.0015556024963185935
out_BTC_mean,0.0015350648351566867
Aggregate_feature_37,0.001517022676461222
in_BTC_max,0.0015165765299539826
Aggregate_feature_4,0.0014993188670959503
Local_feature_8,0.0014871704067594565
Aggregate_feature_57,0.001451102730328686
Aggregate_feature_9,0.001441290780298739
Aggregate_feature_2,0.001440718618424174
Local_feature_30,0.0014156627520776198
Aggregate_feature_38,0.0013564031756980468
Aggregate_feature_48,0.0012883143976715247
Local_feature_86,0.0012791797460474446
Aggregate_feature_53,0.0012688489968959607
Aggregate_feature_5,0.0012685183425037675
in_BTC_mean,0.0012671241495654548
Local_feature_33,0.0012666582121894524
Aggregate_feature_42,0.0012350397174325414
Local_feature_27,0.001230483643754294
Local_feature_87,0.001218907137679047
Local_feature_32,0.0012096579161406241
Aggregate_feature_72,0.001208452882531172
Aggregate_feature_62,0.0011489400533873952
Aggregate_feature_50,0.0011213627202330272
Aggregate_feature_47,0.0011158464489277613
Aggregate_feature_64,0.001104596092621527
Aggregate_feature_1,0.0011022794364039389
Aggregate_feature_40,0.001085728672234013
Local_feature_21,0.0010650752696866551
Local_feature_82,0.0010519440097673752
Aggregate_feature_52,0.0010510426497260755
Local_feature_12,0.0010208007051340175
Local_feature_19,0.0010178802679655478
Aggregate_feature_6,0.001001445035779168
Local_feature_13,0.000934081477635472
Aggregate_feature_71,0.0009106348035235644
Aggregate_feature_28,0.0008748783154699624
Local_feature_92,0.0008671720105283679
Aggregate_feature_41,0.0008664231362759753
Aggregate_feature_26,0.0008640956531684459
Local_feature_26,0.0008500839873062397
Aggregate_feature_33,0.0007880214623402665
Local_feature_72,0.0007874796752264302
Aggregate_feature_55,0.0007833167266907337
Local_feature_71,0.0007759117259781607
Aggregate_feature_54,0.0007537061761237182
Aggregate_feature_21,0.0007191841183959114
Aggregate_feature_11,0.0007171822801859943
Aggregate_feature_59,0.0007019659680199702
Local_feature_56,0.0006683767367317804
Local_feature_57,0.0006620270910660296
Aggregate_feature_27,0.0006578817316769219
Aggregate_feature_58,0.0006474073437014562
Local_feature_68,0.0006390048062943268
Aggregate_feature_20,0.0006212131398518854
Aggregate_feature_12,0.0006047771434872929
Local_feature_69,0.0005971974985321139
Local_feature_73,0.0005386055947023085
Aggregate_feature_29,0.0005351245685166796
Aggregate_feature_17,0.000530480477286422
Aggregate_feature_22,0.0005262026408307511
out_txs_degree,0.000520036875012688
Local_feature_63,0.0005119842699674719
Aggregate_feature_60,0.0004939959788201007
Aggregate_feature_30,0.0004686646751139522
Aggregate_feature_15,0.0004656070997964206
Local_feature_51,0.00045329392982048304
Local_feature_45,0.00043896753042393683
Aggregate_feature_18,0.00042613587067410455
Local_feature_50,0.0003844617016430978
Aggregate_feature_56,0.00036118236199472666
Aggregate_feature_24,0.00035337336503507083
in_txs_degree,0.00033832482769791176
Aggregate_feature_19,0.000300882973304479
Aggregate_feature_35,0.00028272856355295793
Local_feature_62,0.0002802577846929791
Local_feature_44,0.0002707259060390843
Aggregate_feature_23,0.0002673949984484289
Aggregate_feature_25,0.00026539093524118057
Local_feature_74,0.00023014491125905595
Local_feature_37,0.00020127465329053493
Aggregate_feature_36,0.00018829988182745167
Local_feature_75,0.00018216090171414604
Local_feature_35,0.0001740172164404856
Local_feature_34,0.0001533668734111262
Local_feature_36,0.00012594569869043553
Local_feature_38,7.719021581030756e-05
Local_feature_70,4.931437778188255e-05
Local_feature_7,3.989632846422933e-05
Local_feature_39,3.3901556754696375e-05
Local_feature_15,0.0
