feature,mean_abs_shap,rf_internal_importance,shap_rank,rf_rank,rank_difference
out_BTC_max,0.0018688363263061993,0.002667507334475042,81.0,79.0,2.0
Aggregate_feature_3,0.0018666403178812614,0.0031006185253678914,82.0,71.0,11.0
Aggregate_feature_10,0.0017837808881470993,0.005838004463088259,83.0,43.0,40.0
Local_feature_91,0.0016801626421663505,0.002063912668763516,84.0,90.0,6.0
Aggregate_feature_13,0.0016683628591341276,0.003184647174155662,85.0,70.0,15.0
Local_feature_24,0.0016567133084389625,0.0019180352116732926,86.0,94.0,8.0
Local_feature_93,0.001636886538898817,0.0016951947335714147,87.0,97.0,10.0
in_BTC_median,0.001626954831045679,0.0024100153752619788,88.0,84.0,4.0
Aggregate_feature_31,0.001599473964396746,0.0011613506385743995,89.0,118.0,29.0
out_BTC_median,0.0015967007461156868,0.0016866429458749159,90.0,98.0,8.0
Local_feature_88,0.001585207904539825,0.002066189797233496,91.0,89.0,2.0
Local_feature_11,0.0015556024963185935,0.0025245951480615102,92.0,82.0,10.0
out_BTC_mean,0.0015350648351566867,0.0017164748103608491,93.0,96.0,3.0
Aggregate_feature_37,0.001517022676461222,0.0015475680404313929,94.0,102.0,8.0
in_BTC_max,0.0015165765299539826,0.002337806177926395,95.0,85.0,10.0
Aggregate_feature_4,0.0014993188670959503,0.0016499483477847336,96.0,99.0,3.0
Local_feature_8,0.0014871704067594565,0.0030892066154821164,97.0,72.0,25.0
Aggregate_feature_57,0.001451102730328686,0.0012208986089500828,98.0,115.0,17.0
Aggregate_feature_9,0.001441290780298739,0.0013952314918228217,99.0,105.0,6.0
Aggregate_feature_2,0.001440718618424174,0.0019553329802451803,100.0,92.0,8.0
Local_feature_30,0.0014156627520776198,0.0019368625055748345,101.0,93.0,8.0
Aggregate_feature_38,0.0013564031756980468,0.001588582086518678,102.0,100.0,2.0
Aggregate_feature_48,0.0012883143976715247,0.0012717926011570155,103.0,111.0,8.0
Local_feature_86,0.0012791797460474446,0.0006698353288090074,104.0,140.0,36.0
Aggregate_feature_53,0.0012688489968959607,0.0012401462952589786,105.0,113.0,8.0
Aggregate_feature_5,0.0012685183425037675,0.0005981591302011249,106.0,144.0,38.0
in_BTC_mean,0.0012671241495654548,0.002232342813830165,107.0,88.0,19.0
Local_feature_33,0.0012666582121894524,0.0005592732007840921,108.0,149.0,41.0
Aggregate_feature_42,0.0012350397174325414,0.0008663578825072159,109.0,129.0,20.0
Local_feature_27,0.001230483643754294,0.0005871200497371985,110.0,145.0,35.0
Local_feature_87,0.001218907137679047,0.0009931839860128182,111.0,124.0,13.0
Local_feature_32,0.0012096579161406241,0.00048726841982604926,112.0,154.0,42.0
Aggregate_feature_72,0.001208452882531172,0.000766790816767115,113.0,132.0,19.0
Aggregate_feature_62,0.0011489400533873952,0.0012031418926928645,114.0,116.0,2.0
Aggregate_feature_50,0.0011213627202330272,0.0015778207011761462,115.0,101.0,14.0
Aggregate_feature_47,0.0011158464489277613,0.002970771108757796,116.0,74.0,42.0
Aggregate_feature_64,0.001104596092621527,0.0013568066787629993,117.0,106.0,11.0
Aggregate_feature_1,0.0011022794364039389,0.0013000789993787552,118.0,108.0,10.0
Aggregate_feature_40,0.001085728672234013,0.0014148803197122659,119.0,104.0,15.0
Local_feature_21,0.0010650752696866551,0.0017823646631387152,120.0,95.0,25.0
Local_feature_82,0.0010519440097673752,0.0022756832006809876,121.0,87.0,34.0
Aggregate_feature_52,0.0010510426497260755,0.0015355691512333987,122.0,103.0,19.0
Local_feature_12,0.0010208007051340175,0.0012617730509229385,123.0,112.0,11.0
Local_feature_19,0.0010178802679655478,0.0012774019157750396,124.0,110.0,14.0
Aggregate_feature_6,0.001001445035779168,0.0006355855535422042,125.0,142.0,17.0
Local_feature_13,0.000934081477635472,0.0011506323371912094,126.0,119.0,7.0
Aggregate_feature_71,0.0009106348035235644,0.0007170782724811707,127.0,136.0,9.0
Aggregate_feature_28,0.0008748783154699624,0.0010079924437341506,128.0,123.0,5.0
Local_feature_92,0.0008671720105283679,0.0007605460634110408,129.0,133.0,4.0
Aggregate_feature_41,0.0008664231362759753,0.0007198275453274011,130.0,135.0,5.0
Aggregate_feature_26,0.0008640956531684459,0.001304875064629966,131.0,107.0,24.0
Local_feature_26,0.0008500839873062397,0.0007106536687156989,132.0,138.0,6.0
Aggregate_feature_33,0.0007880214623402665,0.0006896145796003183,133.0,139.0,6.0
Local_feature_72,0.0007874796752264302,0.0009810626878408197,134.0,125.0,9.0
Aggregate_feature_55,0.0007833167266907337,0.0007668209820393853,135.0,131.0,4.0
Local_feature_71,0.0007759117259781607,0.0010470204735648192,136.0,122.0,14.0
Aggregate_feature_54,0.0007537061761237182,0.000500165425836838,137.0,152.0,15.0
Aggregate_feature_21,0.0007191841183959114,0.001296794231292849,138.0,109.0,29.0
Aggregate_feature_11,0.0007171822801859943,0.0011667981068774359,139.0,117.0,22.0
Aggregate_feature_59,0.0007019659680199702,0.000939663601384919,140.0,127.0,13.0
Local_feature_56,0.0006683767367317804,0.0009042514775787072,141.0,128.0,13.0
Local_feature_57,0.0006620270910660296,0.000496730039010111,142.0,153.0,11.0
Aggregate_feature_27,0.0006578817316769219,0.0005721181977591939,143.0,147.0,4.0
Aggregate_feature_58,0.0006474073437014562,0.001118601814966201,144.0,120.0,24.0
Local_feature_68,0.0006390048062943268,0.00038580628027376886,145.0,156.0,11.0
Aggregate_feature_20,0.0006212131398518854,0.0012377077890077266,146.0,114.0,32.0
Aggregate_feature_12,0.0006047771434872929,0.0005640817204768817,147.0,148.0,1.0
Local_feature_69,0.0005971974985321139,0.0003213531344680609,148.0,163.0,15.0
Local_feature_73,0.0005386055947023085,0.0007153526015119209,149.0,137.0,12.0
Aggregate_feature_29,0.0005351245685166796,0.00033559050315082,150.0,161.0,11.0
Aggregate_feature_17,0.000530480477286422,0.00046070968176642,151.0,155.0,4.0
Aggregate_feature_22,0.0005262026408307511,0.000802992869573088,152.0,130.0,22.0
out_txs_degree,0.000520036875012688,0.0003186093784429211,153.0,164.0,11.0
Local_feature_63,0.0005119842699674719,0.0002837651941483429,154.0,170.0,16.0
Aggregate_feature_60,0.0004939959788201007,0.0005768546380732183,155.0,146.0,9.0
Aggregate_feature_30,0.0004686646751139522,0.000342143076792109,156.0,159.0,3.0
Aggregate_feature_15,0.0004656070997964206,0.0007216788837676201,157.0,134.0,23.0
Local_feature_51,0.00045329392982048304,0.0002821613444139947,158.0,171.0,13.0
Local_feature_45,0.00043896753042393683,0.0002864925375646348,159.0,168.0,9.0
Aggregate_feature_18,0.00042613587067410455,0.0003079350722655956,160.0,165.0,5.0
Local_feature_50,0.0003844617016430978,0.0003340078592388483,161.0,162.0,1.0
Aggregate_feature_56,0.00036118236199472666,0.0006380576775700262,162.0,141.0,21.0
Aggregate_feature_24,0.00035337336503507083,0.00026985086285998564,163.0,172.0,9.0
in_txs_degree,0.00033832482769791176,0.00036547142895713514,164.0,157.0,7.0
Aggregate_feature_19,0.000300882973304479,0.00052167628343937,165.0,150.0,15.0
Aggregate_feature_35,0.00028272856355295793,0.00030370914363317994,166.0,166.0,0.0
Local_feature_62,0.0002802577846929791,0.00026905125172992095,167.0,174.0,7.0
Local_feature_44,0.0002707259060390843,0.0002843058227344525,168.0,169.0,1.0
Aggregate_feature_23,0.0002673949984484289,0.0002960817400389228,169.0,167.0,2.0
Aggregate_feature_25,0.00026539093524118057,0.0003413173022543438,170.0,160.0,10.0
Local_feature_74,0.00023014491125905595,0.0006005389475288424,171.0,143.0,28.0
Local_feature_37,0.00020127465329053493,0.000510582095247125,172.0,151.0,21.0
Aggregate_feature_36,0.00018829988182745167,0.00024736100365614205,173.0,175.0,2.0
Local_feature_75,0.00018216090171414604,0.00034325936812734073,174.0,158.0,16.0
Local_feature_35,0.0001740172164404856,0.0002690903465360432,175.0,173.0,2.0
Local_feature_34,0.0001533668734111262,0.00016981888478667542,176.0,176.0,0.0
Local_feature_36,0.00012594569869043553,0.0001589930170947766,177.0,177.0,0.0
Local_feature_38,7.719021581030756e-05,8.88251890651092e-05,178.0,178.0,0.0
Local_feature_70,4.931437778188255e-05,7.33410155618522e-05,179.0,179.0,0.0
Local_feature_7,3.989632846422933e-05,4.483897475451203e-05,180.0,181.0,1.0
Local_feature_39,3.3901556754696375e-05,6.762416415329653e-05,181.0,180.0,1.0
Local_feature_15,0.0,4.091732692524914e-21,182.0,182.0,0.0
