feature,importance
Aggregate_feature_64,4.050392e-06
Aggregate_feature_55,3.9887277e-06
Local_feature_80,3.939368e-06
Aggregate_feature_21,3.9363654e-06
Local_feature_55,3.927438e-06
Aggregate_feature_41,3.8994526e-06
Aggregate_feature_62,3.8713624e-06
Local_feature_52,3.868568e-06
Aggregate_feature_42,3.8643902e-06
Aggregate_feature_45,3.845999e-06
Aggregate_feature_66,3.8447906e-06
Aggregate_feature_57,3.840681e-06
Local_feature_81,3.828621e-06
Local_feature_53,3.805007e-06
Aggregate_feature_43,3.8006879e-06
Aggregate_feature_63,3.788724e-06
Aggregate_feature_65,3.7502318e-06
Aggregate_feature_50,3.6209954e-06
Aggregate_feature_58,3.6004599e-06
Aggregate_feature_51,3.598453e-06
Local_feature_54,3.5746182e-06
Local_feature_78,3.500592e-06
Local_feature_77,3.4943641e-06
Local_feature_87,3.4632226e-06
num_input_addresses,3.447979e-06
Local_feature_84,3.442601e-06
Local_feature_79,3.4135794e-06
Local_feature_85,3.2258092e-06
Local_feature_91,3.1135892e-06
Local_feature_83,3.0305248e-06
Local_feature_41,2.8553013e-06
Aggregate_feature_2,2.773854e-06
Local_feature_47,2.607745e-06
Local_feature_49,2.5856496e-06
Aggregate_feature_26,2.4101653e-06
Local_feature_89,2.3337095e-06
Local_feature_43,1.9212232e-06
Aggregate_feature_28,1.7705237e-06
Local_feature_40,1.6850407e-06
Aggregate_feature_4,1.5227826e-06
Local_feature_46,1.4573607e-06
Local_feature_3,1.1900308e-06
num_output_addresses,1.0028436e-06
Aggregate_feature_44,9.5290363e-07
Aggregate_feature_56,9.416929e-07
Aggregate_feature_54,9.415706e-07
size,9.3895864e-07
Aggregate_feature_8,8.9026975e-07
Local_feature_93,8.792198e-07
Aggregate_feature_46,8.782881e-07
Aggregate_feature_37,8.698557e-07
Aggregate_feature_10,8.6919965e-07
Aggregate_feature_39,8.6871484e-07
Local_feature_92,8.650483e-07
Aggregate_feature_61,8.5523425e-07
Aggregate_feature_49,8.546875e-07
Aggregate_feature_7,8.449572e-07
Local_feature_90,8.384555e-07
Aggregate_feature_1,8.291627e-07
Aggregate_feature_53,8.2728695e-07
Local_feature_21,8.2636484e-07
out_txs_degree,8.248082e-07
Local_feature_20,8.0810906e-07
Local_feature_62,8.058325e-07
in_BTC_total,8.046535e-07
Aggregate_feature_47,7.9769495e-07
Local_feature_70,7.9757774e-07
Aggregate_feature_5,7.844667e-07
in_BTC_max,7.77878e-07
Aggregate_feature_17,7.7731204e-07
in_BTC_mean,7.7321204e-07
Local_feature_26,7.714533e-07
out_BTC_max,7.669946e-07
Local_feature_14,7.656876e-07
total_BTC,7.6418166e-07
out_BTC_total,7.612521e-07
Local_feature_73,7.6084643e-07
Aggregate_feature_38,7.603761e-07
Aggregate_feature_48,7.534971e-07
Local_feature_68,7.484401e-07
Local_feature_38,7.4718304e-07
Aggregate_feature_35,7.4656384e-07
Local_feature_36,7.465291e-07
Local_feature_74,7.457202e-07
Local_feature_56,7.44862e-07
Local_feature_34,7.439991e-07
Local_feature_88,7.4391414e-07
Local_feature_75,7.43574e-07
Local_feature_12,7.4256576e-07
Aggregate_feature_36,7.4145174e-07
out_BTC_median,7.35576e-07
Aggregate_feature_30,7.3407926e-07
Aggregate_feature_6,7.340362e-07
Aggregate_feature_22,7.3337395e-07
Aggregate_feature_59,7.330193e-07
Local_feature_5,7.3035676e-07
Local_feature_64,7.24348e-07
Local_feature_58,7.214123e-07
Local_feature_59,7.2007924e-07
Local_feature_50,7.170788e-07
in_BTC_median,7.1654574e-07
Local_feature_72,7.146212e-07
Aggregate_feature_11,7.1394044e-07
Aggregate_feature_29,7.1047435e-07
in_BTC_min,7.0974636e-07
Aggregate_feature_19,7.0943946e-07
Aggregate_feature_13,7.085588e-07
Local_feature_33,6.9687457e-07
Local_feature_37,6.954982e-07
Local_feature_24,6.954868e-07
fees,6.9517483e-07
Local_feature_45,6.9395116e-07
Local_feature_71,6.933588e-07
Aggregate_feature_14,6.9323767e-07
Local_feature_9,6.923245e-07
Local_feature_28,6.9224984e-07
Local_feature_57,6.908888e-07
Aggregate_feature_18,6.90752e-07
