dataset,model,setup,accuracy,precision,recall,f1,roc_auc
elliptic-transactions-combined,Random Forest,simple,0.9749864547588947,0.9736147757255936,0.5801886792452831,0.7270935960591133,0.9227857574103331
elliptic-transactions-combined,Random Forest,simple_balanced,0.9733610258262597,0.9802816901408451,0.5471698113207547,0.7023208879919274,0.9397542512180339
elliptic-transactions-combined,Random Forest,smote,0.9750767563662633,0.9712041884816754,0.5833333333333334,0.7288801571709234,0.9506176633273923
elliptic-transactions-combined,XGBoost,simple,0.9747155499367889,0.961139896373057,0.5833333333333334,0.726027397260274,0.9492092270501711
elliptic-transactions-combined,XGBoost,simple_balanced,0.9750767563662633,0.8982300884955752,0.6383647798742138,0.7463235294117647,0.9511310270528223
elliptic-transactions-combined,XGBoost,smote,0.9757088676178436,0.9622166246851386,0.60062893081761,0.739593417231365,0.9513238397196504
elliptic-transactions-combined,LightGBM,simple,0.9757088676178436,0.9669211195928753,0.5974842767295597,0.738581146744412,0.9513193206727715
elliptic-transactions-combined,LightGBM,simple_balanced,0.9761603756546866,0.9305555555555556,0.6320754716981132,0.7528089887640449,0.948699779832036
elliptic-transactions-combined,LightGBM,smote,0.9759797724399494,0.9695431472081218,0.60062893081761,0.7417475728155339,0.9585945342429271
elliptic-transactions-combined,Logistic Regression,scaled,0.9534043705977966,0.601010101010101,0.5613207547169812,0.5804878048780487,0.8859141007518488
elliptic-transactions-combined,Logistic Regression,scaled_balanced,0.8493769189091566,0.23860182370820668,0.7405660377358491,0.36091954022988504,0.897262481908749
elliptic-transactions-combined,Logistic Regression,scaled_smote,0.8715008127144663,0.26812021213906895,0.7154088050314465,0.39005572224603513,0.8988622245038388
elliptic-transactions-combined,Linear SVC,scaled,0.9606284991872855,0.7057613168724279,0.539308176100629,0.6114081996434938,
elliptic-transactions-combined,Linear SVC,scaled_balanced,0.8900126422250316,0.30068493150684933,0.690251572327044,0.41889312977099236,
elliptic-transactions-combined,Linear SVC,scaled_smote,0.9072602492324363,0.3434747798238591,0.6745283018867925,0.45517241379310347,
