dataset,model,setup,accuracy,precision,recall,f1,roc_auc
elliptic-transactions-combined,Random Forest,simple,0.9749864547588947,0.9736147757255936,0.5801886792452831,0.7270935960591133,0.9227857574103331
elliptic-transactions-combined,Random Forest,simple_balanced,0.9733610258262597,0.9802816901408451,0.5471698113207547,0.7023208879919274,0.9397542512180339
elliptic-transactions-combined,Random Forest,smote,0.9750767563662633,0.9712041884816754,0.5833333333333334,0.7288801571709234,0.9506176633273923
