dataset,model,setup,accuracy,precision,recall,f1,roc_auc
elliptic-transactions-graph,GraphSAGE,simple,0.9571 ± 0.0103,0.673 ± 0.176,0.4179 ± 0.2124,0.4971 ± 0.2381,0.8296 ± 0.0539
elliptic-transactions-graph,GraphSAGE,simple_balanced,0.8916 ± 0.0788,0.3703 ± 0.1623,0.606 ± 0.0364,0.4375 ± 0.1294,0.8527 ± 0.0348
