feature,importance
Aggregate_feature_62,6.261387e-06
Aggregate_feature_55,5.902454e-06
Aggregate_feature_19,5.78615e-06
Aggregate_feature_51,5.572366e-06
Aggregate_feature_22,5.5411906e-06
Aggregate_feature_50,4.4178273e-06
Local_feature_91,4.3532805e-06
out_txs_degree,4.3152977e-06
total_BTC,4.2485067e-06
Local_feature_89,4.1623603e-06
in_BTC_total,4.0993264e-06
Aggregate_feature_13,4.08914e-06
in_BTC_min,4.080915e-06
Aggregate_feature_28,4.0585714e-06
Aggregate_feature_25,4.0407585e-06
Aggregate_feature_63,4.0181326e-06
Local_feature_90,3.988485e-06
Local_feature_52,3.8340218e-06
Local_feature_55,3.8026726e-06
Aggregate_feature_57,3.792368e-06
Aggregate_feature_49,3.7450136e-06
Aggregate_feature_64,3.645416e-06
Local_feature_53,3.6279068e-06
Aggregate_feature_45,3.121822e-06
Aggregate_feature_16,3.0238743e-06
size,2.859978e-06
Aggregate_feature_20,2.7584222e-06
Local_feature_2,2.6882258e-06
Aggregate_feature_56,2.6598095e-06
Aggregate_feature_21,2.525963e-06
in_txs_degree,2.4379506e-06
Aggregate_feature_26,2.3135833e-06
num_output_addresses,2.2993845e-06
Aggregate_feature_43,2.1514593e-06
Aggregate_feature_44,2.1136925e-06
out_BTC_total,2.0197288e-06
num_input_addresses,2.0185173e-06
in_BTC_mean,1.9888985e-06
Local_feature_3,1.8514133e-06
Aggregate_feature_8,1.8441717e-06
in_BTC_max,1.8214172e-06
out_BTC_max,1.8200093e-06
Aggregate_feature_46,1.8139043e-06
in_BTC_median,1.787933e-06
Aggregate_feature_10,1.7332568e-06
Aggregate_feature_37,1.7199033e-06
Aggregate_feature_14,1.6230277e-06
fees,1.6141447e-06
Aggregate_feature_7,1.6102595e-06
Local_feature_83,1.6008247e-06
Local_feature_81,1.5989613e-06
Local_feature_54,1.5942014e-06
Aggregate_feature_58,1.5514419e-06
Aggregate_feature_33,1.5440583e-06
Local_feature_69,1.5417247e-06
Local_feature_77,1.539962e-06
Aggregate_feature_65,1.5370374e-06
Aggregate_feature_29,1.5291856e-06
Local_feature_93,1.5227458e-06
Aggregate_feature_59,1.5226137e-06
Local_feature_85,1.5146355e-06
Local_feature_39,1.5080572e-06
Aggregate_feature_66,1.5078152e-06
Local_feature_78,1.5052921e-06
Aggregate_feature_18,1.5023197e-06
Local_feature_51,1.5022976e-06
Aggregate_feature_5,1.4941162e-06
Aggregate_feature_23,1.4918728e-06
Local_feature_38,1.486173e-06
Aggregate_feature_70,1.4852225e-06
Local_feature_44,1.4848522e-06
Local_feature_26,1.4801749e-06
Local_feature_82,1.4772505e-06
Local_feature_70,1.4769158e-06
Local_feature_74,1.472989e-06
Local_feature_14,1.4719459e-06
Aggregate_feature_12,1.465741e-06
Local_feature_84,1.464619e-06
Aggregate_feature_61,1.4601289e-06
Local_feature_64,1.4575822e-06
Local_feature_88,1.4565996e-06
Aggregate_feature_1,1.4564336e-06
Aggregate_feature_34,1.4552252e-06
Local_feature_56,1.4550794e-06
Local_feature_63,1.4543717e-06
Aggregate_feature_6,1.4534429e-06
Local_feature_15,1.4524439e-06
Local_feature_92,1.4409346e-06
out_BTC_mean,1.4389788e-06
Local_feature_7,1.4387329e-06
Local_feature_20,1.438398e-06
Aggregate_feature_54,1.438029e-06
Local_feature_80,1.4363239e-06
Local_feature_34,1.4336138e-06
Aggregate_feature_39,1.4334497e-06
Local_feature_35,1.4307376e-06
Aggregate_feature_15,1.4300205e-06
Aggregate_feature_47,1.4296897e-06
Local_feature_21,1.4255131e-06
Local_feature_71,1.4246011e-06
Local_feature_27,1.424202e-06
Local_feature_24,1.4215028e-06
Aggregate_feature_40,1.4189837e-06
Local_feature_79,1.4173486e-06
Local_feature_40,1.416874e-06
Aggregate_feature_52,1.4159527e-06
Aggregate_feature_24,1.4144115e-06
Local_feature_29,1.4134783e-06
Local_feature_32,1.4100849e-06
Local_feature_68,1.4092266e-06
Local_feature_30,1.4080925e-06
Aggregate_feature_36,1.4050418e-06
Aggregate_feature_32,1.4039816e-06
Aggregate_feature_31,1.4034262e-06
Aggregate_feature_35,1.4024041e-06
Local_feature_10,1.4018179e-06
Aggregate_feature_42,1.4010592e-06
Aggregate_feature_11,1.401056e-06
Local_feature_33,1.3985666e-06
Local_feature_16,1.3985381e-06
Local_feature_58,1.3950308e-06
Aggregate_feature_60,1.3946443e-06
Local_feature_8,1.3939652e-06
Local_feature_19,1.3932688e-06
Local_feature_57,1.3833927e-06
Local_feature_47,1.3802327e-06
out_BTC_median,1.378704e-06
Aggregate_feature_30,1.3783234e-06
Aggregate_feature_41,1.3782125e-06
Local_feature_62,1.3741392e-06
Local_feature_36,1.3729962e-06
Local_feature_48,1.3689975e-06
Local_feature_72,1.3685747e-06
Local_feature_12,1.3662691e-06
Local_feature_13,1.3601547e-06
Local_feature_50,1.3597399e-06
Local_feature_5,1.357501e-06
Local_feature_87,1.3570768e-06
Local_feature_17,1.3560704e-06
Aggregate_feature_3,1.3527514e-06
Local_feature_37,1.3520532e-06
Local_feature_75,1.344611e-06
Aggregate_feature_4,1.3437298e-06
Local_feature_11,1.3394798e-06
Aggregate_feature_53,1.3373718e-06
Local_feature_23,1.3348483e-06
Local_feature_45,1.3342886e-06
Local_feature_42,1.3330991e-06
Local_feature_28,1.3276752e-06
Local_feature_61,1.3269616e-06
Aggregate_feature_17,1.3215501e-06
Local_feature_73,1.3215044e-06
Local_feature_49,1.3198827e-06
Aggregate_feature_69,1.3157883e-06
Local_feature_86,1.3124899e-06
Local_feature_9,1.3087233e-06
Aggregate_feature_48,1.3017377e-06
Aggregate_feature_67,1.3005795e-06
Local_feature_43,1.3005074e-06
Local_feature_6,1.2942373e-06
Local_feature_22,1.2923359e-06
Aggregate_feature_68,1.287949e-06
Local_feature_18,1.2854902e-06
Local_feature_67,1.2798032e-06
Aggregate_feature_38,1.2757864e-06
