feature,importance
size,5.0832737e-06
Aggregate_feature_49,5.038229e-06
Aggregate_feature_25,4.830104e-06
Aggregate_feature_28,4.798324e-06
Aggregate_feature_61,4.716526e-06
Aggregate_feature_13,4.710643e-06
Aggregate_feature_55,4.7054887e-06
Aggregate_feature_37,4.5357815e-06
Aggregate_feature_16,4.5122106e-06
Local_feature_88,4.4824014e-06
Aggregate_feature_19,4.2763445e-06
Aggregate_feature_57,4.2136926e-06
Local_feature_90,3.890559e-06
Local_feature_55,3.730356e-06
Local_feature_52,3.7246957e-06
Local_feature_53,3.3669783e-06
Aggregate_feature_63,3.335613e-06
Aggregate_feature_22,3.1253603e-06
Local_feature_91,2.828011e-06
Aggregate_feature_26,2.804774e-06
Aggregate_feature_50,2.754446e-06
Local_feature_80,2.6605314e-06
Aggregate_feature_62,2.6198043e-06
Aggregate_feature_52,2.5842157e-06
Aggregate_feature_64,2.561266e-06
num_output_addresses,2.5422323e-06
Aggregate_feature_51,2.541459e-06
Local_feature_81,2.489661e-06
Aggregate_feature_56,2.4867288e-06
Aggregate_feature_10,2.3706584e-06
Aggregate_feature_44,2.324522e-06
Aggregate_feature_46,2.3073087e-06
num_input_addresses,2.2971742e-06
Local_feature_56,2.2726795e-06
Local_feature_25,2.2568008e-06
out_BTC_max,2.2486668e-06
Local_feature_62,2.247896e-06
Local_feature_76,2.2425859e-06
Local_feature_33,2.2401416e-06
Aggregate_feature_9,2.237135e-06
Local_feature_57,2.2366505e-06
Local_feature_37,2.2315062e-06
Local_feature_21,2.2298725e-06
Local_feature_24,2.220767e-06
Local_feature_89,2.2154816e-06
Aggregate_feature_21,2.215297e-06
Aggregate_feature_20,2.2146696e-06
Local_feature_38,2.214423e-06
Aggregate_feature_47,2.2106813e-06
Aggregate_feature_45,2.201061e-06
Local_feature_86,2.193781e-06
Local_feature_74,2.1936787e-06
Aggregate_feature_72,2.1913552e-06
Local_feature_32,2.1864325e-06
Local_feature_69,2.1860642e-06
Aggregate_feature_17,2.184898e-06
Aggregate_feature_8,2.18019e-06
Local_feature_61,2.1784713e-06
in_BTC_total,2.1757191e-06
Local_feature_73,2.1749638e-06
Aggregate_feature_5,2.1724115e-06
Local_feature_63,2.1588955e-06
in_BTC_max,2.156682e-06
Local_feature_28,2.1560984e-06
Local_feature_7,2.1551084e-06
Aggregate_feature_35,2.1534947e-06
Aggregate_feature_12,2.1528158e-06
Aggregate_feature_24,2.1524531e-06
Local_feature_36,2.1509402e-06
Aggregate_feature_11,2.1503117e-06
Aggregate_feature_29,2.1497017e-06
Aggregate_feature_40,2.141722e-06
out_BTC_total,2.1410274e-06
Local_feature_26,2.137806e-06
Aggregate_feature_59,2.1362148e-06
Aggregate_feature_65,2.1345518e-06
Local_feature_4,2.134372e-06
in_BTC_median,2.13292e-06
Local_feature_27,2.1327985e-06
Local_feature_9,2.131703e-06
Local_feature_29,2.1306855e-06
Aggregate_feature_1,2.1300932e-06
in_BTC_min,2.129036e-06
Local_feature_16,2.1268445e-06
Aggregate_feature_27,2.126423e-06
Local_feature_78,2.125764e-06
Local_feature_68,2.1227283e-06
Local_feature_12,2.1183914e-06
Aggregate_feature_66,2.1147353e-06
Local_feature_15,2.1137223e-06
Local_feature_10,2.112918e-06
Local_feature_64,2.1125477e-06
Local_feature_45,2.1100295e-06
Aggregate_feature_60,2.108691e-06
Aggregate_feature_58,2.1032647e-06
Local_feature_5,2.1022493e-06
Aggregate_feature_3,2.1016826e-06
Local_feature_87,2.1001606e-06
Local_feature_34,2.0995783e-06
out_BTC_min,2.097585e-06
Local_feature_58,2.0911675e-06
Local_feature_66,2.0901327e-06
Local_feature_2,2.086776e-06
Aggregate_feature_2,2.086337e-06
Local_feature_30,2.085208e-06
Aggregate_feature_39,2.0849695e-06
Aggregate_feature_38,2.0840907e-06
Local_feature_79,2.0828727e-06
Local_feature_39,2.0827524e-06
Aggregate_feature_32,2.081311e-06
Local_feature_72,2.0800605e-06
Aggregate_feature_67,2.0795312e-06
in_BTC_mean,2.07935e-06
Local_feature_43,2.0780599e-06
Local_feature_51,2.0772513e-06
Local_feature_22,2.0769685e-06
Local_feature_23,2.0761242e-06
Local_feature_14,2.0759574e-06
Local_feature_92,2.0753146e-06
Local_feature_75,2.0739965e-06
Local_feature_13,2.0715709e-06
Local_feature_60,2.0667621e-06
Local_feature_77,2.0664413e-06
Aggregate_feature_71,2.0637476e-06
Aggregate_feature_6,2.0633563e-06
Aggregate_feature_69,2.0622626e-06
Aggregate_feature_15,2.0603673e-06
out_BTC_mean,2.0593327e-06
Local_feature_42,2.0587574e-06
Local_feature_35,2.053993e-06
Aggregate_feature_54,2.053905e-06
Aggregate_feature_23,2.0524067e-06
Local_feature_93,2.0522557e-06
Local_feature_1,2.049851e-06
Local_feature_71,2.0495947e-06
Local_feature_20,2.0475748e-06
Aggregate_feature_48,2.0472169e-06
Aggregate_feature_33,2.0452653e-06
Local_feature_47,2.0431967e-06
Local_feature_31,2.0395555e-06
Local_feature_82,2.0379164e-06
Aggregate_feature_7,2.0376751e-06
Local_feature_44,2.0309717e-06
Aggregate_feature_43,2.029561e-06
Local_feature_19,2.0272423e-06
Local_feature_65,2.0268178e-06
Local_feature_46,2.0247896e-06
Local_feature_49,2.0241005e-06
Local_feature_6,2.0237474e-06
total_BTC,2.0217653e-06
Aggregate_feature_14,2.0178907e-06
Local_feature_18,2.0171874e-06
Aggregate_feature_70,2.0137845e-06
Local_feature_48,2.0119387e-06
