feature,importance
Aggregate_feature_19,7.4986824e-06
Aggregate_feature_50,7.491935e-06
Aggregate_feature_55,7.418189e-06
Aggregate_feature_62,7.3678552e-06
Aggregate_feature_22,7.240002e-06
Aggregate_feature_51,7.2135786e-06
num_input_addresses,6.5943705e-06
Local_feature_3,6.117825e-06
Aggregate_feature_20,5.0984736e-06
Aggregate_feature_56,4.7556696e-06
Local_feature_90,4.7308104e-06
Local_feature_92,4.623058e-06
Aggregate_feature_63,4.60732e-06
Local_feature_88,4.593216e-06
Aggregate_feature_52,4.5588317e-06
Local_feature_89,4.5174975e-06
Aggregate_feature_64,4.50914e-06
Aggregate_feature_43,4.500111e-06
in_BTC_total,4.442298e-06
Local_feature_91,4.439788e-06
Aggregate_feature_57,4.4241256e-06
Local_feature_85,4.4216677e-06
total_BTC,4.4193644e-06
Local_feature_83,4.3775717e-06
Aggregate_feature_58,4.3744226e-06
in_BTC_min,4.2939314e-06
Local_feature_79,4.2826987e-06
Local_feature_84,4.23023e-06
Local_feature_78,4.192077e-06
Local_feature_77,4.1699063e-06
Aggregate_feature_21,4.163866e-06
Aggregate_feature_66,4.1485773e-06
out_BTC_min,4.1235944e-06
Aggregate_feature_65,4.0588225e-06
Local_feature_93,3.991623e-06
Aggregate_feature_28,3.956773e-06
Aggregate_feature_45,3.876895e-06
Local_feature_2,3.8601697e-06
Aggregate_feature_26,3.8271473e-06
out_txs_degree,3.8242524e-06
Aggregate_feature_39,3.740926e-06
Local_feature_54,3.6239803e-06
Local_feature_20,3.580721e-06
in_txs_degree,3.5630085e-06
Local_feature_41,3.4309458e-06
Local_feature_47,3.405144e-06
Aggregate_feature_69,3.3930614e-06
Local_feature_21,3.2502994e-06
Local_feature_59,3.2292355e-06
Aggregate_feature_70,3.2257635e-06
Local_feature_49,3.159207e-06
Aggregate_feature_2,3.1500654e-06
Aggregate_feature_25,3.0942392e-06
Aggregate_feature_71,3.0565511e-06
Aggregate_feature_47,3.040788e-06
Local_feature_65,3.0357926e-06
Local_feature_43,3.0158847e-06
Local_feature_66,2.990309e-06
Aggregate_feature_27,2.9716116e-06
Aggregate_feature_72,2.9307141e-06
Aggregate_feature_48,2.9064379e-06
Local_feature_46,2.8550471e-06
Local_feature_61,2.8529412e-06
Local_feature_62,2.769739e-06
Local_feature_67,2.7268595e-06
Local_feature_68,2.6782673e-06
Aggregate_feature_41,2.635179e-06
Aggregate_feature_44,2.5642134e-06
Local_feature_40,2.5304003e-06
Aggregate_feature_38,2.5170525e-06
Local_feature_60,2.4740045e-06
out_BTC_total,2.3791351e-06
Local_feature_18,2.3675611e-06
in_BTC_median,2.3345312e-06
Local_feature_81,2.3199575e-06
Local_feature_53,2.3147913e-06
Aggregate_feature_3,2.2977501e-06
Aggregate_feature_32,2.2855581e-06
Local_feature_52,2.2757717e-06
Local_feature_55,2.2532631e-06
size,2.2112577e-06
Local_feature_80,2.1496207e-06
num_output_addresses,2.1222663e-06
Aggregate_feature_46,2.113935e-06
Local_feature_31,2.0315076e-06
Local_feature_29,2.0209284e-06
Aggregate_feature_15,2.020819e-06
Local_feature_9,1.9712293e-06
Local_feature_1,1.9419795e-06
Aggregate_feature_4,1.92089e-06
Aggregate_feature_37,1.913988e-06
Aggregate_feature_8,1.8815572e-06
Aggregate_feature_10,1.8632071e-06
Aggregate_feature_34,1.8423204e-06
Aggregate_feature_49,1.8409668e-06
in_BTC_max,1.8376895e-06
Aggregate_feature_42,1.8310577e-06
Local_feature_63,1.8197507e-06
Aggregate_feature_53,1.8076612e-06
Aggregate_feature_7,1.8000356e-06
Aggregate_feature_68,1.7906565e-06
Local_feature_6,1.779921e-06
Local_feature_86,1.7792469e-06
Local_feature_74,1.756112e-06
Local_feature_75,1.7555079e-06
Local_feature_23,1.7366358e-06
Local_feature_25,1.7262737e-06
Aggregate_feature_11,1.7259438e-06
Aggregate_feature_13,1.6996254e-06
Local_feature_56,1.6993704e-06
in_BTC_mean,1.6834715e-06
Aggregate_feature_54,1.6798435e-06
Aggregate_feature_61,1.6750463e-06
Aggregate_feature_12,1.6745718e-06
Local_feature_17,1.6719792e-06
Aggregate_feature_16,1.6271027e-06
Local_feature_8,1.6268647e-06
Aggregate_feature_33,1.5895919e-06
Local_feature_4,1.583837e-06
out_BTC_max,1.5809375e-06
out_BTC_median,1.5767172e-06
Aggregate_feature_40,1.5725858e-06
Aggregate_feature_67,1.5604684e-06
Local_feature_57,1.5526069e-06
Local_feature_19,1.5435182e-06
Aggregate_feature_35,1.5363869e-06
Local_feature_51,1.5260656e-06
Local_feature_11,1.5172254e-06
Aggregate_feature_5,1.5021062e-06
Aggregate_feature_23,1.4951645e-06
Aggregate_feature_60,1.493963e-06
Aggregate_feature_6,1.4934664e-06
Local_feature_37,1.481106e-06
Local_feature_69,1.4804275e-06
Local_feature_27,1.4770918e-06
Local_feature_28,1.4754585e-06
Local_feature_38,1.4735762e-06
Aggregate_feature_1,1.4699824e-06
out_BTC_mean,1.4681789e-06
Local_feature_82,1.463314e-06
Local_feature_76,1.4615717e-06
Local_feature_35,1.4567936e-06
Aggregate_feature_59,1.4522843e-06
Local_feature_72,1.4510538e-06
Local_feature_70,1.4475152e-06
Local_feature_58,1.4445694e-06
Local_feature_7,1.44039e-06
Local_feature_16,1.4286829e-06
fees,1.425101e-06
Local_feature_13,1.4227425e-06
Local_feature_50,1.4186263e-06
Local_feature_30,1.4176929e-06
Local_feature_73,1.4157962e-06
Local_feature_22,1.4083921e-06
Local_feature_14,1.4079668e-06
Local_feature_45,1.4033375e-06
Local_feature_87,1.4001832e-06
Local_feature_39,1.3997884e-06
Local_feature_44,1.3996695e-06
Local_feature_10,1.3968771e-06
Aggregate_feature_24,1.3921807e-06
Local_feature_26,1.3891243e-06
Aggregate_feature_36,1.3881037e-06
Local_feature_33,1.3854394e-06
