feature,importance
Aggregate_feature_62,7.639251e-06
Aggregate_feature_55,7.566501e-06
Aggregate_feature_22,7.3849938e-06
Aggregate_feature_19,7.3240953e-06
Aggregate_feature_50,7.223623e-06
Aggregate_feature_51,7.1520685e-06
Local_feature_91,6.8909694e-06
Local_feature_3,5.57349e-06
num_input_addresses,5.1259394e-06
Aggregate_feature_56,4.9704413e-06
Aggregate_feature_63,4.7112876e-06
Local_feature_89,4.4828794e-06
Local_feature_52,4.3623927e-06
Aggregate_feature_57,4.331154e-06
Aggregate_feature_58,4.3121463e-06
Aggregate_feature_20,4.305551e-06
Aggregate_feature_64,4.287631e-06
Aggregate_feature_45,4.2395313e-06
Local_feature_90,4.226827e-06
Local_feature_55,4.2168567e-06
in_BTC_min,4.095672e-06
Local_feature_53,4.0859554e-06
Aggregate_feature_43,4.020634e-06
Aggregate_feature_21,4.0134682e-06
in_BTC_total,3.991104e-06
out_txs_degree,3.894911e-06
Local_feature_54,3.4129878e-06
in_txs_degree,3.3940594e-06
total_BTC,3.3302993e-06
Local_feature_84,3.2634587e-06
Local_feature_79,3.1554562e-06
Local_feature_85,3.1491466e-06
Local_feature_77,3.1081413e-06
Local_feature_78,3.0125295e-06
Local_feature_81,2.919978e-06
Aggregate_feature_52,2.8322097e-06
Local_feature_80,2.727061e-06
Local_feature_83,2.647975e-06
Local_feature_41,2.6401951e-06
Local_feature_47,2.6208215e-06
Aggregate_feature_26,2.4750736e-06
Aggregate_feature_70,2.4138135e-06
size,2.2762072e-06
Local_feature_49,2.1911178e-06
Local_feature_43,2.162606e-06
Aggregate_feature_2,2.126295e-06
num_output_addresses,2.0381985e-06
Aggregate_feature_28,2.0225423e-06
Local_feature_46,2.0187224e-06
Aggregate_feature_39,1.9829763e-06
Local_feature_40,1.9251167e-06
Aggregate_feature_46,1.8955215e-06
Aggregate_feature_44,1.8413143e-06
Aggregate_feature_8,1.8184209e-06
Aggregate_feature_4,1.7442702e-06
Local_feature_88,1.6996606e-06
Local_feature_2,1.6828637e-06
Aggregate_feature_10,1.6784165e-06
in_BTC_mean,1.6535353e-06
Aggregate_feature_65,1.6495616e-06
Aggregate_feature_37,1.6316861e-06
Aggregate_feature_7,1.620979e-06
Local_feature_62,1.6152646e-06
Aggregate_feature_66,1.5921324e-06
in_BTC_max,1.5846232e-06
Local_feature_59,1.539769e-06
Aggregate_feature_72,1.5268978e-06
Local_feature_26,1.5265897e-06
Local_feature_50,1.5216754e-06
out_BTC_mean,1.5086214e-06
Local_feature_7,1.5085323e-06
Aggregate_feature_69,1.5071423e-06
Aggregate_feature_60,1.5038013e-06
in_BTC_median,1.4994058e-06
Local_feature_15,1.4968259e-06
Aggregate_feature_12,1.496724e-06
Aggregate_feature_5,1.4957532e-06
Aggregate_feature_41,1.4947011e-06
Aggregate_feature_35,1.4885311e-06
Aggregate_feature_42,1.4806916e-06
Local_feature_34,1.4793108e-06
out_BTC_max,1.4763626e-06
Aggregate_feature_17,1.4744203e-06
Local_feature_16,1.4735155e-06
Aggregate_feature_16,1.4713618e-06
Aggregate_feature_25,1.465453e-06
Aggregate_feature_29,1.4628986e-06
Local_feature_74,1.4628406e-06
out_BTC_median,1.4607095e-06
Local_feature_92,1.4556804e-06
Local_feature_27,1.4518732e-06
Local_feature_82,1.4467711e-06
Aggregate_feature_24,1.4462312e-06
Local_feature_64,1.4329459e-06
Local_feature_57,1.4321859e-06
Aggregate_feature_71,1.4270889e-06
Aggregate_feature_13,1.424473e-06
out_BTC_total,1.4242872e-06
Local_feature_42,1.4240371e-06
Aggregate_feature_23,1.4232096e-06
Aggregate_feature_1,1.4189217e-06
Local_feature_18,1.417919e-06
Aggregate_feature_14,1.4159675e-06
Aggregate_feature_30,1.4123286e-06
Local_feature_58,1.4056492e-06
Local_feature_65,1.4036297e-06
Aggregate_feature_53,1.4034156e-06
Aggregate_feature_40,1.402338e-06
Local_feature_33,1.3930588e-06
Local_feature_32,1.3908699e-06
Aggregate_feature_11,1.385716e-06
Local_feature_51,1.3844792e-06
Local_feature_12,1.3839406e-06
Local_feature_35,1.3835872e-06
Local_feature_36,1.3831385e-06
Local_feature_5,1.3799918e-06
Aggregate_feature_27,1.3798597e-06
Local_feature_21,1.378414e-06
Aggregate_feature_31,1.3783482e-06
Local_feature_70,1.3779471e-06
Aggregate_feature_36,1.3769043e-06
fees,1.3758788e-06
Local_feature_63,1.3742659e-06
Local_feature_44,1.3736787e-06
Local_feature_76,1.3731914e-06
Aggregate_feature_32,1.3726253e-06
out_BTC_min,1.36512e-06
Local_feature_38,1.3601872e-06
Aggregate_feature_33,1.3585038e-06
Local_feature_68,1.3578425e-06
Local_feature_87,1.355791e-06
Local_feature_93,1.3548012e-06
Local_feature_19,1.3545185e-06
Local_feature_30,1.3524052e-06
Local_feature_13,1.3521209e-06
Local_feature_8,1.3467163e-06
Local_feature_73,1.3465149e-06
Aggregate_feature_54,1.3431668e-06
Local_feature_20,1.3424084e-06
Local_feature_56,1.3405522e-06
Local_feature_37,1.3397772e-06
Local_feature_75,1.3396667e-06
Local_feature_14,1.3369702e-06
Local_feature_86,1.3368543e-06
Local_feature_71,1.3367102e-06
Aggregate_feature_59,1.333792e-06
Aggregate_feature_34,1.3261983e-06
Local_feature_66,1.3249326e-06
Local_feature_39,1.3245366e-06
Local_feature_22,1.3191517e-06
Local_feature_6,1.316336e-06
Local_feature_10,1.3160511e-06
Aggregate_feature_68,1.314746e-06
Local_feature_67,1.3133811e-06
Aggregate_feature_6,1.3099408e-06
Local_feature_69,1.3097424e-06
Aggregate_feature_18,1.3032866e-06
Local_feature_45,1.3031731e-06
Aggregate_feature_9,1.3019608e-06
Local_feature_48,1.2963791e-06
Local_feature_23,1.2873955e-06
Aggregate_feature_49,1.2779792e-06
Local_feature_11,1.2620544e-06
Aggregate_feature_48,1.2610742e-06
Local_feature_17,1.2595456e-06
Local_feature_24,1.2594741e-06
Aggregate_feature_47,1.259227e-06
Local_feature_29,1.2553372e-06
Local_feature_9,1.2526534e-06
Aggregate_feature_38,1.2509398e-06
Local_feature_31,1.2499343e-06
Aggregate_feature_61,1.2274674e-06
Local_feature_61,1.2268722e-06
Local_feature_60,1.2202704e-06
Local_feature_4,1.2098981e-06
Local_feature_28,1.1987624e-06
Local_feature_1,1.1931822e-06
Local_feature_25,1.193073e-06
Aggregate_feature_3,1.191101e-06
Aggregate_feature_15,1.179789e-06
Local_feature_72,1.1700728e-06
Aggregate_feature_67,1.1647459e-06
