feature,importance
Local_feature_81,4.0723467e-06
Aggregate_feature_55,4.013075e-06
Local_feature_44,3.9839124e-06
Aggregate_feature_41,3.920848e-06
Aggregate_feature_63,3.918881e-06
Aggregate_feature_42,3.891717e-06
Local_feature_80,3.87452e-06
Aggregate_feature_64,3.853998e-06
Local_feature_57,3.826304e-06
Local_feature_52,3.7798916e-06
Local_feature_45,3.7667867e-06
Aggregate_feature_57,3.7284665e-06
Aggregate_feature_19,3.7186862e-06
Aggregate_feature_12,3.7175184e-06
Local_feature_56,3.7069137e-06
Aggregate_feature_62,3.7032617e-06
Local_feature_55,3.679091e-06
Local_feature_53,3.6626632e-06
Aggregate_feature_51,3.6438641e-06
num_input_addresses,3.6422543e-06
Aggregate_feature_45,3.611172e-06
Aggregate_feature_11,3.5995117e-06
Aggregate_feature_21,3.5472394e-06
Local_feature_91,3.5383778e-06
Aggregate_feature_50,3.4713448e-06
Local_feature_89,3.443397e-06
Local_feature_90,3.3786505e-06
Aggregate_feature_53,3.2482913e-06
Aggregate_feature_58,3.2280072e-06
out_BTC_median,3.2087469e-06
Aggregate_feature_22,3.0677165e-06
Aggregate_feature_43,2.9696143e-06
Aggregate_feature_54,2.9300381e-06
Local_feature_78,2.7561914e-06
Local_feature_51,2.6663524e-06
Local_feature_79,2.4340454e-06
Local_feature_77,2.4138271e-06
Local_feature_87,2.3728421e-06
Local_feature_84,2.3544433e-06
Local_feature_85,2.3520604e-06
Local_feature_3,1.9587437e-06
Local_feature_83,1.9087083e-06
Local_feature_41,1.9013132e-06
Local_feature_47,1.8809235e-06
Local_feature_49,1.5944283e-06
Aggregate_feature_26,1.5923387e-06
Aggregate_feature_28,1.5480393e-06
Local_feature_43,1.3705156e-06
Aggregate_feature_39,1.3242783e-06
Local_feature_12,1.2387466e-06
Local_feature_13,1.234386e-06
Local_feature_46,1.2326177e-06
Local_feature_40,1.110671e-06
Local_feature_32,1.0565213e-06
num_output_addresses,1.0287567e-06
out_BTC_mean,1.0193942e-06
Local_feature_26,1.0014819e-06
Aggregate_feature_59,9.936452e-07
Local_feature_33,9.651338e-07
Aggregate_feature_8,9.632333e-07
size,9.55778e-07
Aggregate_feature_60,9.482867e-07
Local_feature_27,9.471875e-07
Aggregate_feature_56,9.365767e-07
in_BTC_max,9.322741e-07
out_BTC_total,9.2750383e-07
Aggregate_feature_66,9.1489795e-07
Aggregate_feature_44,9.0885163e-07
in_BTC_mean,9.017929e-07
out_BTC_max,8.9886845e-07
Aggregate_feature_72,8.953562e-07
Aggregate_feature_52,8.926719e-07
Aggregate_feature_6,8.9104947e-07
total_BTC,8.8185345e-07
Aggregate_feature_10,8.8171083e-07
Local_feature_2,8.748638e-07
Local_feature_92,8.666581e-07
Local_feature_20,8.443168e-07
Aggregate_feature_7,8.423209e-07
Local_feature_88,8.414763e-07
Aggregate_feature_17,8.301112e-07
in_BTC_median,8.299637e-07
Aggregate_feature_14,8.294151e-07
Aggregate_feature_3,8.2605777e-07
Aggregate_feature_47,8.2379006e-07
Aggregate_feature_25,8.202968e-07
Aggregate_feature_1,8.182468e-07
Aggregate_feature_5,8.010067e-07
Aggregate_feature_65,7.9966486e-07
out_txs_degree,7.914997e-07
Aggregate_feature_61,7.910367e-07
Aggregate_feature_70,7.862578e-07
Aggregate_feature_49,7.848259e-07
Aggregate_feature_9,7.844841e-07
Aggregate_feature_4,7.8229056e-07
Local_feature_62,7.771633e-07
in_BTC_total,7.748677e-07
Local_feature_37,7.7404377e-07
Aggregate_feature_71,7.7157574e-07
Local_feature_69,7.700468e-07
Local_feature_8,7.664518e-07
Local_feature_36,7.661595e-07
Local_feature_61,7.6514976e-07
Local_feature_67,7.649563e-07
Local_feature_60,7.634939e-07
Aggregate_feature_69,7.581761e-07
Local_feature_76,7.554979e-07
Local_feature_18,7.550414e-07
Aggregate_feature_48,7.526571e-07
Local_feature_30,7.519509e-07
Local_feature_65,7.505961e-07
Local_feature_31,7.466363e-07
Local_feature_5,7.4595954e-07
Aggregate_feature_23,7.459275e-07
Local_feature_93,7.4510973e-07
Local_feature_71,7.4320116e-07
Local_feature_72,7.430984e-07
Aggregate_feature_27,7.416055e-07
Local_feature_75,7.4127684e-07
Aggregate_feature_18,7.3746827e-07
Aggregate_feature_16,7.374433e-07
Aggregate_feature_37,7.368809e-07
Local_feature_23,7.36026e-07
Local_feature_10,7.3467976e-07
Local_feature_73,7.34217e-07
Local_feature_28,7.324709e-07
Local_feature_24,7.320191e-07
