time_step,n_samples,n_positives,precision,recall,f1,roc_auc
40,1208,112,0.09503424657534247,0.9910714285714286,0.1734375,0.4778455748175183
41,1127,116,0.12392241379310345,0.9913793103448276,0.22030651340996169,0.34510471025614786
42,2142,239,0.1200201714573878,0.99581589958159,0.21422142214221424,0.5674249203525814
43,1327,24,0.019639934533551555,1.0,0.038523274478330656,0.5107764134049629
44,1578,24,0.022099447513812154,1.0,0.043243243243243246,0.7044857357357357
45,1198,5,0.004500450045004501,1.0,0.008960573476702509,0.5329421626152556
46,711,2,0.0029895366218236174,1.0,0.005961251862891207,0.8236953455571226
47,836,22,0.0280970625798212,1.0,0.0546583850931677,0.639630332812151
48,471,36,0.08053691275167785,1.0,0.14906832298136646,0.7286079182630907
49,476,56,0.15954415954415954,1.0,0.2751842751842752,0.7668792517006803
