feature,mean_abs_shap,lightgbm_internal_importance,shap_rank,internal_rank,rank_difference
out_BTC_min,0.018483537826354667,45,99.0,69.0,30.0
Aggregate_feature_62,0.018246823832081187,56,100.0,57.0,43.0
Aggregate_feature_6,0.017699854155766,17,101.0,112.0,11.0
Local_feature_43,0.016975752486591573,35,102.0,79.0,23.0
Local_feature_56,0.016720293080016668,13,103.0,123.0,20.0
Local_feature_11,0.016375615521075016,23,104.0,100.0,4.0
Aggregate_feature_10,0.016220195133844015,25,105.0,96.0,9.0
Aggregate_feature_16,0.01611738061758924,53,106.0,60.0,46.0
Aggregate_feature_29,0.013767687041057554,17,107.0,112.0,5.0
Local_feature_67,0.013686190402662805,16,108.0,114.0,6.0
Local_feature_26,0.013686162642957637,36,109.0,76.0,33.0
Aggregate_feature_33,0.0133830200112449,16,110.0,114.0,4.0
Aggregate_feature_60,0.013145251670955049,5,111.0,150.0,39.0
Local_feature_78,0.012892799661980859,31,112.0,85.0,27.0
Aggregate_feature_57,0.012756203307845283,29,113.0,88.0,25.0
Aggregate_feature_11,0.012728817442407885,28,114.0,89.0,25.0
Aggregate_feature_21,0.012574627050820094,34,115.0,83.0,32.0
Local_feature_17,0.01220874461224155,19,116.0,108.0,8.0
Aggregate_feature_5,0.011927962776503069,14,117.0,121.0,4.0
total_BTC,0.011898659645476246,12,118.0,127.0,9.0
Aggregate_feature_59,0.011172433385339266,18,119.0,110.0,9.0
Local_feature_71,0.010947187022049092,28,120.0,89.0,31.0
in_BTC_total,0.01060600004858507,20,121.0,106.0,15.0
in_BTC_min,0.009792385889419542,11,122.0,133.0,11.0
Local_feature_19,0.009666144409883911,9,123.0,140.0,17.0
Aggregate_feature_20,0.009440751139017921,13,124.0,123.0,1.0
Aggregate_feature_52,0.009391669672272122,46,125.0,67.0,58.0
Aggregate_feature_3,0.009372208641179729,21,126.0,101.0,25.0
in_BTC_mean,0.009316101461038147,7,127.0,144.0,17.0
Local_feature_57,0.008587547088015318,20,128.0,106.0,22.0
Aggregate_feature_36,0.008273510131954404,11,129.0,133.0,4.0
Aggregate_feature_19,0.008196482523317908,13,130.0,123.0,7.0
Local_feature_30,0.00808206834034868,5,131.0,150.0,19.0
Local_feature_12,0.006425173751706218,25,132.0,96.0,36.0
Aggregate_feature_41,0.006255141101747432,5,133.0,150.0,17.0
Local_feature_4,0.0062449455550493286,4,134.0,156.0,22.0
Local_feature_45,0.006167772771512681,12,135.0,127.0,8.0
Aggregate_feature_18,0.005902347418356623,12,136.0,127.0,9.0
Local_feature_51,0.005451185163132657,15,137.0,118.0,19.0
Aggregate_feature_27,0.005447974693940058,12,138.0,127.0,11.0
Local_feature_6,0.005423316047717872,5,139.0,150.0,11.0
Aggregate_feature_30,0.005177465272230161,16,140.0,114.0,26.0
Aggregate_feature_53,0.0051272954466293295,8,141.0,142.0,1.0
out_txs_degree,0.005006497347096134,14,142.0,121.0,21.0
Aggregate_feature_25,0.004999527721898971,10,143.0,137.0,6.0
Local_feature_37,0.004797382922228001,10,144.0,137.0,7.0
Local_feature_62,0.004474087530064873,8,145.0,142.0,3.0
Local_feature_86,0.004392477210173035,6,146.0,148.0,2.0
Aggregate_feature_35,0.0042039001471325,12,147.0,127.0,20.0
Local_feature_27,0.004121810027536423,6,148.0,148.0,0.0
Aggregate_feature_15,0.003761682327235147,15,149.0,118.0,31.0
Aggregate_feature_24,0.003568518119705422,7,150.0,144.0,6.0
out_BTC_mean,0.003479972276214328,2,151.0,160.0,9.0
Local_feature_34,0.0033785773058127924,10,152.0,137.0,15.0
Local_feature_50,0.0031804122226374004,5,153.0,150.0,3.0
Aggregate_feature_23,0.002832157644380318,11,154.0,133.0,21.0
out_BTC_max,0.0025273393495943283,7,155.0,144.0,11.0
Aggregate_feature_12,0.002281614375652359,5,156.0,150.0,6.0
Local_feature_92,0.0019901452276003496,7,157.0,144.0,13.0
Aggregate_feature_47,0.0018278426641816351,3,158.0,158.0,0.0
Local_feature_81,0.0015184985999693646,1,159.0,163.0,4.0
Local_feature_44,0.0014802389444589007,2,160.0,160.0,0.0
Local_feature_70,0.001354266458167158,9,161.0,140.0,21.0
Local_feature_68,0.0012261440140121087,3,162.0,158.0,4.0
Aggregate_feature_48,0.0009498370205136482,1,163.0,163.0,0.0
Aggregate_feature_42,0.0007348535414664615,1,164.0,163.0,1.0
Local_feature_21,0.0007240069361920392,1,165.0,163.0,2.0
Local_feature_82,0.0004001058635026204,2,166.0,160.0,6.0
Aggregate_feature_54,0.0003938643086627334,1,167.0,163.0,4.0
Local_feature_32,0.00035143240900205504,1,168.0,163.0,5.0
Local_feature_7,0.00018958687522418845,1,169.0,163.0,6.0
Local_feature_38,2.1567693850314618e-05,1,170.0,163.0,7.0
Local_feature_14,0.0,0,171.0,171.0,0.0
Local_feature_36,0.0,0,171.0,171.0,0.0
Local_feature_33,0.0,0,171.0,171.0,0.0
Local_feature_15,0.0,0,171.0,171.0,0.0
Local_feature_39,0.0,0,171.0,171.0,0.0
Local_feature_93,0.0,0,171.0,171.0,0.0
Local_feature_69,0.0,0,171.0,171.0,0.0
Local_feature_75,0.0,0,171.0,171.0,0.0
Local_feature_63,0.0,0,171.0,171.0,0.0
Local_feature_87,0.0,0,171.0,171.0,0.0
num_input_addresses,0.0,0,171.0,171.0,0.0
out_BTC_total,0.0,0,171.0,171.0,0.0
