feature,mean_abs_shap
Local_feature_61,0.9422274586926236
size,0.795595032210699
Local_feature_59,0.733297278372763
Local_feature_46,0.373356981662725
Local_feature_53,0.3728891502190842
Local_feature_3,0.360918538964611
Local_feature_5,0.3208269374764638
Local_feature_52,0.2879955408426059
Local_feature_58,0.2552616488067489
Aggregate_feature_68,0.19910127982223785
Local_feature_29,0.1871194114090035
Local_feature_16,0.18107062429442577
Aggregate_feature_70,0.1726286138432497
Local_feature_55,0.17237235362071165
Aggregate_feature_32,0.15695947324744225
Local_feature_2,0.1491337781129281
Local_feature_76,0.14842342961531532
Local_feature_90,0.13931006081310876
Aggregate_feature_34,0.1354641680771633
Aggregate_feature_4,0.13150538291885713
Local_feature_80,0.12970022234124234
Local_feature_88,0.12937037860684425
Aggregate_feature_45,0.11904211729683804
Aggregate_feature_28,0.11839688345118043
Local_feature_23,0.11360225006859775
Aggregate_feature_43,0.10846995910370034
Aggregate_feature_31,0.103904687003264
Aggregate_feature_13,0.10012620165597401
Aggregate_feature_69,0.09422977114153945
Local_feature_83,0.09250847620416625
Local_feature_89,0.08294938883176142
Local_feature_49,0.08217629401905632
Local_feature_18,0.07891290939789974
fees,0.07665586228625
Local_feature_41,0.07654894792573587
Aggregate_feature_46,0.07595586875144503
Aggregate_feature_8,0.07402936574304499
Aggregate_feature_44,0.0728892726645508
Aggregate_feature_40,0.07047720532743532
Local_feature_35,0.0697635522439812
Aggregate_feature_38,0.06962078045547726
num_output_addresses,0.06628451539767304
Local_feature_64,0.0651956197530277
in_BTC_median,0.0646249797759914
Local_feature_8,0.06164894704528101
Aggregate_feature_64,0.0609994710915423
Aggregate_feature_7,0.05993048276214023
Aggregate_feature_9,0.05957446136936205
Aggregate_feature_71,0.05848200796878367
Aggregate_feature_61,0.058390660669332954
Local_feature_24,0.057110228745034713
Local_feature_77,0.056069398381889846
Aggregate_feature_65,0.056013124038694
Local_feature_47,0.055521147134358455
Aggregate_feature_1,0.05489161247781271
Local_feature_20,0.05148948447572026
Local_feature_85,0.05072080318606128
Local_feature_22,0.04897684789234055
Local_feature_79,0.04864016069226616
Aggregate_feature_39,0.04663247272926029
Aggregate_feature_55,0.044187280949385115
Aggregate_feature_37,0.04402772759453346
Local_feature_31,0.04385918087218619
Aggregate_feature_49,0.04379674650201497
Local_feature_40,0.042695208329279234
Local_feature_10,0.04143422019533003
Aggregate_feature_67,0.03984059763681033
Aggregate_feature_50,0.03950827622995024
Aggregate_feature_51,0.03830012975429181
Local_feature_84,0.03821069628596115
Local_feature_65,0.03767068818925169
Aggregate_feature_2,0.035198432452648434
Aggregate_feature_56,0.034139573105472
in_BTC_max,0.033686445886738706
Local_feature_91,0.03315458221646637
Local_feature_73,0.032652118267055254
Aggregate_feature_14,0.029219922511664827
Local_feature_9,0.028338145178499995
Local_feature_13,0.02809411907523347
Local_feature_54,0.027945838333411792
Aggregate_feature_66,0.027213149532841117
in_txs_degree,0.02667742075439735
Aggregate_feature_26,0.025955979997304795
out_BTC_median,0.025510156070119604
Local_feature_74,0.024833874687649866
Local_feature_1,0.02475555340002273
Local_feature_60,0.023551568466333127
Local_feature_28,0.023297509066997808
Local_feature_48,0.022585657149222633
Aggregate_feature_63,0.022370871942234555
Local_feature_25,0.02219226263459183
Aggregate_feature_58,0.020894352446425252
Local_feature_66,0.020893302412204957
Aggregate_feature_72,0.020859611077438264
Aggregate_feature_22,0.020727833180474987
Aggregate_feature_17,0.02045428800316854
Local_feature_72,0.020412853778335998
Local_feature_42,0.020107163708582666
out_BTC_min,0.018483537826354667
Aggregate_feature_62,0.018246823832081187
Aggregate_feature_6,0.017699854155766
Local_feature_43,0.016975752486591573
Local_feature_56,0.016720293080016668
Local_feature_11,0.016375615521075016
Aggregate_feature_10,0.016220195133844015
Aggregate_feature_16,0.01611738061758924
Aggregate_feature_29,0.013767687041057554
Local_feature_67,0.013686190402662805
Local_feature_26,0.013686162642957637
Aggregate_feature_33,0.0133830200112449
Aggregate_feature_60,0.013145251670955049
Local_feature_78,0.012892799661980859
Aggregate_feature_57,0.012756203307845283
Aggregate_feature_11,0.012728817442407885
Aggregate_feature_21,0.012574627050820094
Local_feature_17,0.01220874461224155
Aggregate_feature_5,0.011927962776503069
total_BTC,0.011898659645476246
Aggregate_feature_59,0.011172433385339266
Local_feature_71,0.010947187022049092
in_BTC_total,0.01060600004858507
in_BTC_min,0.009792385889419542
Local_feature_19,0.009666144409883911
Aggregate_feature_20,0.009440751139017921
Aggregate_feature_52,0.009391669672272122
Aggregate_feature_3,0.009372208641179729
in_BTC_mean,0.009316101461038147
Local_feature_57,0.008587547088015318
Aggregate_feature_36,0.008273510131954404
Aggregate_feature_19,0.008196482523317908
Local_feature_30,0.00808206834034868
Local_feature_12,0.006425173751706218
Aggregate_feature_41,0.006255141101747432
Local_feature_4,0.0062449455550493286
Local_feature_45,0.006167772771512681
Aggregate_feature_18,0.005902347418356623
Local_feature_51,0.005451185163132657
Aggregate_feature_27,0.005447974693940058
Local_feature_6,0.005423316047717872
Aggregate_feature_30,0.005177465272230161
Aggregate_feature_53,0.0051272954466293295
out_txs_degree,0.005006497347096134
Aggregate_feature_25,0.004999527721898971
Local_feature_37,0.004797382922228001
Local_feature_62,0.004474087530064873
Local_feature_86,0.004392477210173035
Aggregate_feature_35,0.0042039001471325
Local_feature_27,0.004121810027536423
Aggregate_feature_15,0.003761682327235147
Aggregate_feature_24,0.003568518119705422
out_BTC_mean,0.003479972276214328
Local_feature_34,0.0033785773058127924
Local_feature_50,0.0031804122226374004
Aggregate_feature_23,0.002832157644380318
out_BTC_max,0.0025273393495943283
Aggregate_feature_12,0.002281614375652359
Local_feature_92,0.0019901452276003496
Aggregate_feature_47,0.0018278426641816351
Local_feature_81,0.0015184985999693646
Local_feature_44,0.0014802389444589007
Local_feature_70,0.001354266458167158
Local_feature_68,0.0012261440140121087
Aggregate_feature_48,0.0009498370205136482
Aggregate_feature_42,0.0007348535414664615
Local_feature_21,0.0007240069361920392
Local_feature_82,0.0004001058635026204
Aggregate_feature_54,0.0003938643086627334
Local_feature_32,0.00035143240900205504
Local_feature_7,0.00018958687522418845
Local_feature_38,2.1567693850314618e-05
Local_feature_14,0.0
Local_feature_36,0.0
Local_feature_33,0.0
Local_feature_15,0.0
Local_feature_39,0.0
Local_feature_93,0.0
Local_feature_69,0.0
Local_feature_75,0.0
Local_feature_63,0.0
Local_feature_87,0.0
num_input_addresses,0.0
out_BTC_total,0.0
