dataset,model,setup,accuracy,precision,recall,f1,roc_auc
elliptic-wallets-combined,Logistic Regression,scaled,0.9752246232292288,0.5766871165644172,0.149800796812749,0.23782416192283365,0.8337469757120266
elliptic-wallets-combined,Logistic Regression,scaled_balanced,0.8942574583136296,0.1462882096069869,0.6406374501992032,0.23818693526884907,0.8461505377754526
elliptic-wallets-combined,Logistic Regression,scaled_smote,0.8972387277175813,0.15038296282458435,0.6414342629482072,0.24364406779661016,0.8495463336809362
