dataset,model,setup,accuracy,precision,recall,f1,roc_auc
elliptic-wallets-combined,Random Forest,simple,0.9891029463165902,0.838468720821662,0.7155378486055777,0.7721410146173688,0.9790367885597453
elliptic-wallets-combined,Random Forest,simple_balanced,0.9894113534963094,0.8585271317829457,0.7059760956175298,0.774814167031045,0.9812160248457859
elliptic-wallets-combined,Random Forest,smote,0.9778769249748134,0.5471797575118609,0.8270916334661355,0.6586294416243654,0.9817557342282552
elliptic-wallets-combined,XGBoost,simple,0.9878487571190657,0.802367941712204,0.7019920318725099,0.7488312792180195,0.9815873730185837
elliptic-wallets-combined,XGBoost,simple_balanced,0.9576865349425334,0.3671849156467086,0.8844621513944223,0.5189340813464236,0.9819371452605012
elliptic-wallets-combined,XGBoost,smote,0.9603182762094702,0.381120112715745,0.8621513944223107,0.5285784074255008,0.9774634104668659
elliptic-wallets-combined,LightGBM,simple,0.9884244505212081,0.8078291814946619,0.7235059760956175,0.7633459436738125,0.9832934439272163
elliptic-wallets-combined,LightGBM,simple_balanced,0.9616547073215864,0.3928320449754041,0.8908366533864542,0.5452328700316996,0.9850870293676504
elliptic-wallets-combined,LightGBM,smote,0.9651088677344408,0.41394080996884736,0.847011952191235,0.5561077687679833,0.9792389262753973
elliptic-wallets-combined,Logistic Regression,scaled,0.9752246232292288,0.5766871165644172,0.149800796812749,0.23782416192283365,0.8337469757120266
elliptic-wallets-combined,Logistic Regression,scaled_balanced,0.8942574583136296,0.1462882096069869,0.6406374501992032,0.23818693526884907,0.8461505377754526
elliptic-wallets-combined,Logistic Regression,scaled_smote,0.8972387277175813,0.15038296282458435,0.6414342629482072,0.24364406779661016,0.8495463336809362
elliptic-wallets-combined,Linear SVC,scaled,0.9744844459979028,0.535,0.08525896414342629,0.1470790378006873,
elliptic-wallets-combined,Linear SVC,scaled_balanced,0.8959434175627609,0.1440329218106996,0.6135458167330677,0.23329798515376457,
elliptic-wallets-combined,Linear SVC,scaled_smote,0.8976499372905401,0.14670715505788576,0.6159362549800796,0.23697118332311465,
