feature,importance
Local_feature_90,8.356114e-06
Aggregate_feature_19,8.028337e-06
Aggregate_feature_63,6.769638e-06
Aggregate_feature_22,6.63459e-06
Local_feature_88,6.273724e-06
num_input_addresses,6.2054864e-06
Aggregate_feature_71,5.890974e-06
Local_feature_91,5.6508275e-06
Aggregate_feature_56,5.5843643e-06
Aggregate_feature_72,5.53949e-06
Aggregate_feature_55,5.3617077e-06
Aggregate_feature_58,5.3581266e-06
Local_feature_53,5.257507e-06
Local_feature_55,5.2108476e-06
Aggregate_feature_41,5.145576e-06
Aggregate_feature_49,5.143666e-06
Aggregate_feature_37,5.134556e-06
Aggregate_feature_45,5.1209327e-06
Aggregate_feature_21,5.092438e-06
Aggregate_feature_57,5.0402773e-06
Local_feature_52,5.025627e-06
Aggregate_feature_43,5.0062913e-06
Aggregate_feature_61,4.9866844e-06
Local_feature_54,4.898718e-06
Aggregate_feature_65,4.8880365e-06
Aggregate_feature_20,4.88577e-06
Aggregate_feature_42,4.878835e-06
Aggregate_feature_51,4.8554843e-06
Aggregate_feature_66,4.744844e-06
Local_feature_79,4.721322e-06
Aggregate_feature_53,4.6456535e-06
out_txs_degree,4.5630286e-06
Local_feature_85,4.5428037e-06
Local_feature_77,4.5365114e-06
Local_feature_78,4.494116e-06
in_txs_degree,4.4612552e-06
Local_feature_80,4.417853e-06
Local_feature_81,4.327836e-06
out_BTC_min,4.322404e-06
Local_feature_47,4.281448e-06
Local_feature_89,4.2464076e-06
Local_feature_83,4.217922e-06
Local_feature_41,4.153436e-06
Local_feature_84,4.1461076e-06
Aggregate_feature_26,4.0186246e-06
Aggregate_feature_39,3.944527e-06
Aggregate_feature_2,3.8143307e-06
Aggregate_feature_28,3.75722e-06
Local_feature_49,3.6786262e-06
Aggregate_feature_4,3.6514734e-06
Local_feature_43,3.613581e-06
Local_feature_3,3.5237056e-06
Local_feature_40,3.4793625e-06
Aggregate_feature_64,3.3322776e-06
Local_feature_46,3.270971e-06
Aggregate_feature_1,3.241911e-06
Aggregate_feature_54,3.0102767e-06
size,2.9211387e-06
num_output_addresses,2.7657925e-06
Aggregate_feature_62,2.7573487e-06
Aggregate_feature_50,2.7124838e-06
Aggregate_feature_27,2.6921784e-06
Aggregate_feature_7,2.689652e-06
Local_feature_59,2.644351e-06
Aggregate_feature_10,2.6104892e-06
Aggregate_feature_8,2.6104537e-06
Aggregate_feature_44,2.582215e-06
Aggregate_feature_46,2.546168e-06
Aggregate_feature_25,2.4182505e-06
Local_feature_18,2.3976363e-06
Aggregate_feature_14,2.3956768e-06
Local_feature_65,2.3810128e-06
Aggregate_feature_69,2.3792713e-06
out_BTC_total,2.375036e-06
Local_feature_66,2.3713324e-06
Local_feature_1,2.369749e-06
Local_feature_9,2.3203938e-06
Local_feature_38,2.3197751e-06
Local_feature_19,2.3086484e-06
Local_feature_62,2.3068405e-06
Local_feature_71,2.3038328e-06
total_BTC,2.2992167e-06
Local_feature_61,2.2990441e-06
Aggregate_feature_52,2.2815036e-06
Aggregate_feature_67,2.2735633e-06
Aggregate_feature_6,2.2728093e-06
Local_feature_39,2.263627e-06
Aggregate_feature_32,2.2566696e-06
Local_feature_20,2.2513818e-06
Local_feature_73,2.2434206e-06
Local_feature_70,2.2380582e-06
in_BTC_mean,2.2248714e-06
Local_feature_13,2.2237102e-06
Local_feature_12,2.223216e-06
Local_feature_21,2.222246e-06
out_BTC_max,2.217685e-06
in_BTC_median,2.2148631e-06
in_BTC_max,2.2120166e-06
Aggregate_feature_11,2.2118484e-06
