time_step,n_samples,n_positives,precision,recall,f1,roc_auc,model,setup,seed
40,1208,112,0.2510822510822511,0.5178571428571429,0.33819241982507287,0.7308679288321168,GCN,simple,42
41,1127,116,0.23737373737373738,0.4051724137931034,0.29936305732484075,0.6518000272860602,GCN,simple,42
42,2142,239,0.4490861618798956,0.7196652719665272,0.5530546623794212,0.885520989760717,GCN,simple,42
43,1327,24,0.006097560975609756,0.041666666666666664,0.010638297872340425,0.6988679969301612,GCN,simple,42
44,1578,24,0.021739130434782608,0.20833333333333334,0.03937007874015748,0.5293865293865294,GCN,simple,42
45,1198,5,0.0,0.0,0.0,0.5805532271584242,GCN,simple,42
46,711,2,0.014285714285714285,0.5,0.027777777777777776,0.7309590973201692,GCN,simple,42
47,836,22,0.01020408163265306,0.045454545454545456,0.016666666666666666,0.5141277641277642,GCN,simple,42
48,471,36,0.045454545454545456,0.027777777777777776,0.034482758620689655,0.7110153256704981,GCN,simple,42
49,476,56,0.15,0.10714285714285714,0.125,0.5280399659863946,GCN,simple,42
40,1208,112,0.20833333333333334,0.4017857142857143,0.27439024390243905,0.6730236574556829,GCN,simple,43
41,1127,116,0.18666666666666668,0.3620689655172414,0.24633431085043989,0.5467572222790682,GCN,simple,43
42,2142,239,0.4635416666666667,0.7447698744769874,0.5714285714285714,0.8826692933641442,GCN,simple,43
43,1327,24,0.0,0.0,0.0,0.6917689946277821,GCN,simple,43
44,1578,24,0.016835016835016835,0.20833333333333334,0.03115264797507788,0.4770082582582583,GCN,simple,43
45,1198,5,0.0,0.0,0.0,0.5408214585079631,GCN,simple,43
46,711,2,0.015384615384615385,0.5,0.029850746268656716,0.7246121297602257,GCN,simple,43
47,836,22,0.010309278350515464,0.045454545454545456,0.01680672268907563,0.47922716104534285,GCN,simple,43
48,471,36,0.0,0.0,0.0,0.6426564495530013,GCN,simple,43
49,476,56,0.125,0.08928571428571429,0.10416666666666667,0.49861819727891155,GCN,simple,43
40,1208,112,0.19658119658119658,0.4107142857142857,0.2658959537572254,0.6789054353493221,GCN,simple,44
41,1127,116,0.1752988047808765,0.3793103448275862,0.23978201634877383,0.5692469047375422,GCN,simple,44
42,2142,239,0.4226327944572748,0.7656903765690377,0.5446428571428571,0.8797626298049546,GCN,simple,44
43,1327,24,0.014285714285714285,0.08333333333333333,0.024390243902439025,0.6961179329751854,GCN,simple,44
44,1578,24,0.013100436681222707,0.25,0.024896265560165973,0.489771021021021,GCN,simple,44
45,1198,5,0.0,0.0,0.0,0.5336127409891032,GCN,simple,44
46,711,2,0.012658227848101266,0.5,0.024691358024691357,0.7221438645980254,GCN,simple,44
47,836,22,0.008928571428571428,0.045454545454545456,0.014925373134328358,0.4903395130667858,GCN,simple,44
48,471,36,0.047619047619047616,0.027777777777777776,0.03508771929824561,0.6747765006385695,GCN,simple,44
49,476,56,0.14893617021276595,0.125,0.13592233009708737,0.5002551020408164,GCN,simple,44
40,1208,112,0.6341463414634146,0.23214285714285715,0.33986928104575165,0.7935512252346194,GCN,simple,45
41,1127,116,0.6333333333333333,0.16379310344827586,0.2602739726027397,0.851060745591596,GCN,simple,45
42,2142,239,0.7142857142857143,0.3138075313807531,0.436046511627907,0.8688593434282359,GCN,simple,45
43,1327,24,0.0,0.0,0.0,0.7274878485546176,GCN,simple,45
44,1578,24,0.01694915254237288,0.041666666666666664,0.024096385542168676,0.6318371943371943,GCN,simple,45
45,1198,5,0.0,0.0,0.0,0.5740150880134116,GCN,simple,45
46,711,2,0.07142857142857142,0.5,0.125,0.9435825105782792,GCN,simple,45
47,836,22,0.0,0.0,0.0,0.660040205494751,GCN,simple,45
48,471,36,0.0,0.0,0.0,0.8256066411238825,GCN,simple,45
49,476,56,0.0,0.0,0.0,0.7327380952380951,GCN,simple,45
40,1208,112,0.5714285714285714,0.17857142857142858,0.272108843537415,0.7742928832116788,GCN,simple,46
41,1127,116,0.5454545454545454,0.10344827586206896,0.17391304347826086,0.7818564753231694,GCN,simple,46
42,2142,239,0.7368421052631579,0.23430962343096234,0.35555555555555557,0.881475406592102,GCN,simple,46
43,1327,24,0.0,0.0,0.0,0.7286070606293169,GCN,simple,46
44,1578,24,0.02564102564102564,0.041666666666666664,0.031746031746031744,0.6440905190905191,GCN,simple,46
45,1198,5,0.0,0.0,0.0,0.5698239731768651,GCN,simple,46
46,711,2,0.0,0.0,0.0,0.5937940761636107,GCN,simple,46
47,836,22,0.0,0.0,0.0,0.6848894348894349,GCN,simple,46
48,471,36,0.0,0.0,0.0,0.8417624521072797,GCN,simple,46
49,476,56,0.0,0.0,0.0,0.7173044217687076,GCN,simple,46
