dataset,model,setup,accuracy,precision,recall,f1,roc_auc
elliptic-transactions-graph,GCN,simple,0.8795 ± 0.055,0.263 ± 0.1284,0.3368 ± 0.1574,0.2413 ± 0.0245,0.7434 ± 0.0483
elliptic-transactions-graph,GCN,simple_balanced,0.7629 ± 0.0837,0.145 ± 0.0257,0.5906 ± 0.1357,0.2281 ± 0.0239,0.7726 ± 0.0105
