feature,importance
Local_feature_90,8.440655e-06
Aggregate_feature_64,8.413981e-06
Aggregate_feature_19,8.390627e-06
Aggregate_feature_63,8.245941e-06
Local_feature_91,8.147116e-06
Local_feature_89,7.645559e-06
Aggregate_feature_22,7.551657e-06
num_input_addresses,7.0970214e-06
Local_feature_3,6.984608e-06
Aggregate_feature_71,6.912746e-06
Aggregate_feature_72,6.906134e-06
Local_feature_79,6.2948034e-06
out_txs_degree,6.2434847e-06
Aggregate_feature_56,5.6727044e-06
Aggregate_feature_66,5.661248e-06
Local_feature_80,5.5712867e-06
Local_feature_85,5.5693013e-06
Local_feature_88,5.5027667e-06
Aggregate_feature_58,5.4657817e-06
Local_feature_53,5.4499674e-06
Local_feature_83,5.42111e-06
Local_feature_77,5.385934e-06
Aggregate_feature_65,5.346083e-06
Local_feature_81,5.32604e-06
Aggregate_feature_62,5.307991e-06
Aggregate_feature_55,5.3051303e-06
Aggregate_feature_57,5.299751e-06
Local_feature_78,5.271473e-06
Aggregate_feature_51,5.242322e-06
Local_feature_84,5.168599e-06
Local_feature_55,5.130718e-06
Aggregate_feature_50,5.1286465e-06
Aggregate_feature_49,5.078653e-06
Local_feature_52,5.075984e-06
Aggregate_feature_53,5.0627896e-06
in_txs_degree,5.0397125e-06
Aggregate_feature_45,5.0188182e-06
Aggregate_feature_21,4.994008e-06
Aggregate_feature_43,4.9633413e-06
Aggregate_feature_26,4.909549e-06
Aggregate_feature_2,4.7511253e-06
Local_feature_54,4.6831433e-06
Local_feature_41,4.6542264e-06
Aggregate_feature_54,4.5774873e-06
Aggregate_feature_4,4.5552238e-06
Aggregate_feature_28,4.495518e-06
Aggregate_feature_39,4.4630265e-06
Local_feature_47,4.341254e-06
Local_feature_43,4.302323e-06
Local_feature_49,4.071433e-06
Local_feature_40,3.960936e-06
Local_feature_59,3.900131e-06
Local_feature_65,3.6726399e-06
Aggregate_feature_1,3.5957771e-06
Aggregate_feature_27,3.5910955e-06
Local_feature_46,3.5411274e-06
Aggregate_feature_14,3.3619654e-06
Aggregate_feature_25,3.3348556e-06
Aggregate_feature_69,3.2226724e-06
Aggregate_feature_70,3.1700974e-06
Local_feature_61,3.0576075e-06
size,3.056058e-06
Local_feature_66,2.9881182e-06
Local_feature_18,2.937062e-06
Local_feature_67,2.9059274e-06
Aggregate_feature_44,2.895016e-06
Aggregate_feature_32,2.8310649e-06
Aggregate_feature_20,2.799042e-06
Local_feature_60,2.7224166e-06
Aggregate_feature_38,2.707895e-06
Local_feature_63,2.6609455e-06
Aggregate_feature_34,2.6150126e-06
Aggregate_feature_10,2.600431e-06
Aggregate_feature_46,2.5790823e-06
num_output_addresses,2.5585607e-06
Local_feature_69,2.5484132e-06
Aggregate_feature_61,2.5081272e-06
Local_feature_62,2.5010124e-06
Local_feature_21,2.48574e-06
Local_feature_20,2.4675912e-06
Aggregate_feature_8,2.4488697e-06
Local_feature_1,2.4388216e-06
Local_feature_57,2.41457e-06
Aggregate_feature_12,2.407529e-06
Aggregate_feature_7,2.4004107e-06
Aggregate_feature_11,2.372261e-06
Aggregate_feature_37,2.3702767e-06
Local_feature_31,2.3613652e-06
Local_feature_8,2.341175e-06
Aggregate_feature_24,2.3281373e-06
Local_feature_4,2.2835316e-06
Aggregate_feature_16,2.2781485e-06
Local_feature_9,2.2768543e-06
Local_feature_75,2.2756853e-06
Local_feature_6,2.2737331e-06
Local_feature_10,2.2730467e-06
Local_feature_29,2.2709119e-06
Aggregate_feature_3,2.270867e-06
Local_feature_74,2.2610234e-06
Aggregate_feature_15,2.2593251e-06
Aggregate_feature_48,2.251608e-06
Local_feature_71,2.2513248e-06
Aggregate_feature_41,2.2508427e-06
Local_feature_19,2.2367774e-06
out_BTC_total,2.2359927e-06
Local_feature_68,2.2355798e-06
Local_feature_35,2.2269016e-06
Local_feature_23,2.2196198e-06
out_BTC_max,2.219507e-06
Local_feature_93,2.2166141e-06
Local_feature_37,2.21148e-06
Aggregate_feature_42,2.2001348e-06
Aggregate_feature_67,2.1982153e-06
Local_feature_24,2.19723e-06
in_BTC_max,2.19395e-06
Local_feature_56,2.184758e-06
in_BTC_total,2.182752e-06
Aggregate_feature_68,2.1762908e-06
Local_feature_51,2.1729227e-06
Local_feature_34,2.1722599e-06
Local_feature_72,2.1685134e-06
Aggregate_feature_60,2.1614662e-06
Aggregate_feature_59,2.1582525e-06
Aggregate_feature_47,2.1580233e-06
Aggregate_feature_52,2.1562123e-06
Local_feature_92,2.1423912e-06
Aggregate_feature_23,2.1384158e-06
Local_feature_14,2.1371513e-06
Local_feature_82,2.1368623e-06
Local_feature_11,2.1210005e-06
Aggregate_feature_31,2.1206097e-06
Local_feature_42,2.1172264e-06
Local_feature_26,2.1170315e-06
Aggregate_feature_35,2.1161488e-06
Local_feature_32,2.1136334e-06
Local_feature_44,2.1029641e-06
out_BTC_median,2.1018661e-06
Local_feature_36,2.100253e-06
Local_feature_76,2.0998932e-06
Aggregate_feature_33,2.0893158e-06
Aggregate_feature_17,2.0892312e-06
Aggregate_feature_5,2.086316e-06
in_BTC_min,2.0855305e-06
Local_feature_39,2.0830748e-06
total_BTC,2.0782593e-06
Local_feature_27,2.0768011e-06
Local_feature_15,2.0692676e-06
Aggregate_feature_40,2.068764e-06
Local_feature_7,2.0679124e-06
Local_feature_13,2.0663347e-06
Local_feature_17,2.0607304e-06
Local_feature_73,2.058837e-06
Local_feature_50,2.0578027e-06
in_BTC_median,2.056079e-06
in_BTC_mean,2.054267e-06
Aggregate_feature_18,2.0526707e-06
Aggregate_feature_30,2.0523407e-06
Local_feature_16,2.0508173e-06
Aggregate_feature_6,2.0502307e-06
Local_feature_25,2.050219e-06
Local_feature_87,2.0445066e-06
Local_feature_58,2.041589e-06
Aggregate_feature_13,2.033151e-06
out_BTC_min,2.0317952e-06
Aggregate_feature_29,2.0293933e-06
Local_feature_33,2.0245718e-06
Local_feature_2,2.0131836e-06
Local_feature_70,2.0131654e-06
out_BTC_mean,2.0111795e-06
fees,2.0023222e-06
Aggregate_feature_36,1.9917743e-06
Local_feature_30,1.9860834e-06
Local_feature_38,1.9841507e-06
Aggregate_feature_9,1.9757583e-06
Local_feature_45,1.9641996e-06
Local_feature_28,1.9623103e-06
Local_feature_5,1.9491208e-06
Local_feature_12,1.9463282e-06
Local_feature_64,1.944679e-06
Local_feature_86,1.9303757e-06
Local_feature_48,1.918124e-06
Local_feature_22,1.8554382e-06
